institute_id,institute_name,city,state,score,rank,ranking_category,nirf_year
IR-A-U-0560,Indian Institute of Technology Roorkee,Roorkee,Uttarakhand,82.65,1,Architecture,2021
IR-A-U-0263,National Institute of Technology Calicut,Kozhikode,Kerala,76.5,2,Architecture,2021
IR-A-U-0573,Indian Institute of Technology Kharagpur,Kharagpur,West Bengal,76.14,3,Architecture,2021
IR-A-U-0116,"School of Planning and Architecture, New Delhi",New Delhi,Delhi,70.12,4,Architecture,2021
IR-A-U-0127,Centre for Environmental Planning and Technology University,Ahmedabad,Gujarat,66.77,5,Architecture,2021
IR-A-U-0626,School of Planning and Architecture Bhopal,Bhopal,Madhya Pradesh,65.58,6,Architecture,2021
IR-A-U-0467,National Institute of Technology Tiruchirappalli,Tiruchirappalli,Tamil Nadu,65.14,7,Architecture,2021
IR-A-U-0627,School of Planning & Architecture,Vijayawada,Andhra Pradesh,64.27,8,Architecture,2021
IR-A-U-0584,Indian Institute of Engineering Science and Technology,Shibpur,West Bengal,61.76,9,Architecture,2021
IR-A-U-0108,Jamia Millia Islamia,New Delhi,Delhi,57.23,10,Architecture,2021
IR-A-C-43708,College of Engineering Trivandrum,Thiruvananthapuram,Kerala,57.02,11,Architecture,2021
IR-A-U-0379,Lovely Professional University,Phagwara,Punjab,56.12,12,Architecture,2021
IR-A-U-0496,Aligarh Muslim University,Aligarh,Uttar Pradesh,55.24,13,Architecture,2021
IR-A-U-0202,Birla Institute of Technology,Ranchi,Jharkhand,55.21,14,Architecture,2021
IR-A-C-57952,BMS College of Arhitecture,Bengaluru,Karnataka,54.99,15,Architecture,2021
IR-A-U-0747,Chandigarh University,Mohali,Punjab,54.41,16,Architecture,2021
IR-A-U-0334,Visvesvaraya National Institute of Technology,Nagpur,Maharashtra,53.93,17,Architecture,2021
IR-A-C-46330,"Faculty of Architecture, Manipal Academy of Higher Education, Manipal",Udupi,Karnataka,53.78,18,Architecture,2021
IR-A-C-26794,Thiagarajar College of Engineering,Madurai,Tamil Nadu,52.53,19,Architecture,2021
IR-A-U-0284,Maulana Azad National Institute of Technology,Bhopal,Madhya Pradesh,52.42,20,Architecture,2021
IR-A-U-0373,Chitkara University,Rajpura,Punjab,51.81,21,Architecture,2021
IR-A-U-0439,Anna University,Chennai,Tamil Nadu,51.25,22,Architecture,2021
IR-A-U-0189,National Institute of Technology Hamirpur,Hamirpur,Himachal Pradesh,50.11,23,Architecture,2021
IR-A-U-0201,Shri Mata Vaishno Devi University,Katra,Jammu and Kashmir,50.1,24,Architecture,2021
IR-A-U-0461,M. G. R. Educational and Research Institute,Chennai,Tamil Nadu,49.75,25,Architecture,2021
IR-C-C-6355,Miranda House,Delhi,Delhi,75.42,1,College,2021
IR-C-C-6415,Lady Shri Ram College For Women,New Delhi,Delhi,69.44,2,College,2021
IR-C-C-44006,Loyola College,Chennai,Tamil Nadu,69.28,3,College,2021
IR-C-C-11881,St. Xavier`s College,Kolkata,West Bengal,67.41,4,College,2021
IR-C-C-11926,Ramakrishna Mission Vidyamandira,Howrah,West Bengal,67.26,5,College,2021
IR-C-C-41046,PSGR Krishnammal College for Women,Coimbatore,Tamil Nadu,67.14,6,College,2021
IR-C-C-43921,Presidency College,Chennai,Tamil Nadu,66.96,7,College,2021
IR-C-C-22470,St. Stephens's College,Delhi,Delhi,66.71,8,College,2021
IR-C-C-6377,Hindu College,Delhi,Delhi,66.51,9,College,2021
IR-C-C-6419,Shri Ram College of Commerce,Delhi,Delhi,66.39,10,College,2021
IR-C-C-6369,Sri Venkateswara College,Delhi,Delhi,66.24,11,College,2021
IR-C-C-22462,Atma Ram Sanatan Dharm College,New Delhi,Delhi,66.17,12,College,2021
IR-C-C-6361,Deen Dayal Upadhyaya College,New Delhi,Delhi,64.9,13,College,2021
IR-C-C-6425,Hans Raj College,Delhi,Delhi,64.65,14,College,2021
IR-C-I-1317,Rama Krishna Mission Vivekananda Centenary College,Rahara,West Bengal,64.45,15,College,2021
IR-C-C-6429,Gargi College,Delhi,Delhi,64.37,16,College,2021
IR-C-C-6385,Kirori Mal College,Delhi,Delhi,64.3,17,College,2021
IR-C-C-43965,Madras Christian College,Chennai,Tamil Nadu,63.9,18,College,2021
IR-C-C-41124,PSG College of Arts and Science,Coimbatore,Tamil Nadu,62.93,19,College,2021
IR-C-C-6380,Acharya Narendra Dev College,New Delhi,Delhi,62.85,20,College,2021
IR-C-C-42814,Ramakrishna Mission Residential College,Kolkata,West Bengal,62.5,21,College,2021
IR-C-C-16178,P. D. Patel Institute of Applied Sciences,Changa,Gujarat,61.19,22,College,2021
IR-C-C-36513,Thiagarajar College,Madurai,Tamil Nadu,60.61,23,College,2021
IR-C-C-27608,Lady Irwin College,Delhi,Delhi,60.11,24,College,2021
IR-C-C-43671,"University College, Thiruvananthapuram",Thiruvananthapuram,Kerala,59.58,25,College,2021
IR-C-C-6367,Daulat Ram College,Delhi,Delhi,59.22,26,College,2021
IR-C-C-41126,Sri Krishna Arts and Science College,Coimbatore,Tamil Nadu,59.09,27,College,2021
IR-C-C-35860,"St. Joseph's College, Tiruchirappalli",Tiruchirappalli,Tamil Nadu,59.09,27,College,2021
IR-C-C-6432,Dyal Singh College,New Delhi,Delhi,58.98,29,College,2021
IR-C-C-43964,Madras School of Social Work,Chennai,Tamil Nadu,58.59,30,College,2021
IR-C-C-11691,Rajagiri College of Social Sciences,Ernakulam,Kerala,58.23,31,College,2021
IR-C-C-6387,Bhaskaracharya College of Applied Sciences,New Delhi,Delhi,58.0,32,College,2021
IR-C-C-6417,Kamala Nehru College,Delhi,Delhi,57.68,33,College,2021
IR-C-C-25376,Andhra Loyola College,Vijayawada,Andhra Pradesh,57.47,34,College,2021
IR-C-C-6391,Maitreyi College,New Delhi,Delhi,57.33,35,College,2021
IR-C-C-41106,Kongunadu Arts & Science College,Coimbatore,Tamil Nadu,57.3,36,College,2021
IR-C-C-6426,Shaheed Rajguru College of Applied Sciences for Women,Delhi,Delhi,57.17,37,College,2021
IR-C-C-29454,I. C. College of Home Science,Hisar,Haryana,57.15,38,College,2021
IR-C-C-6353,Sri Guru Tegh Bahadur Khalsa College,Delhi,Delhi,56.86,39,College,2021
IR-C-C-43946,Women`s Christian College,Chennai,Tamil Nadu,56.18,40,College,2021
IR-C-C-6420,Jesus & Mary College,New Delhi,Delhi,56.15,41,College,2021
IR-C-C-41035,Government Arts College,Coimbatore,Tamil Nadu,56.05,42,College,2021
IR-C-C-35825,Bishop Heber College,Tiruchirappalli,Tamil Nadu,55.97,43,College,2021
IR-C-C-43767,"Mar Ivanios College, Thiruvananthapuram",Thiruvananthapuram,Kerala,55.64,44,College,2021
IR-C-C-11582,"St. Teresa's College, Ernakulam",Ernakulam,Kerala,55.63,45,College,2021
IR-C-C-43705,"Government College for Women, Thiruvananthapuram",Thiruvananthapuram,Kerala,55.62,46,College,2021
IR-C-C-36502,Virudhunagar Hindu Nadars Senthikumara Nadar College,Virudhunagar,Tamil Nadu,55.49,47,College,2021
IR-C-I-1293,Sri Ramakrishna Mission Vidyalaya College of Arts and Science,Coimbatore,Tamil Nadu,55.16,48,College,2021
IR-C-C-35787,"Holy Cross College, Tiruchirappalli",Tiruchirappalli,Tamil Nadu,55.09,49,College,2021
IR-C-C-6502,Kanchi Mamunivar Centre for Post Graduate Studies,Puducherry,Pondicherry,55.01,50,College,2021
IR-C-C-43902,Ethiraj College for Women,Chennai,Tamil Nadu,54.77,51,College,2021
IR-C-C-6412,Maharaja Agrasen College,Delhi,Delhi,54.76,52,College,2021
IR-C-C-6431,Ramanujan College,New Delhi,Delhi,54.68,53,College,2021
IR-C-C-41157,V.O. Chidambaram College,Tuticorin,Tamil Nadu,54.61,54,College,2021
IR-C-N-6,Queen Mary`s College,Chennai,Tamil Nadu,54.58,55,College,2021
IR-C-C-41189,"Scott Christian College, Nagercoil",Nagercoil,Tamil Nadu,54.48,56,College,2021
IR-C-C-5855,St. Xavier's College,Ahmedabad,Gujarat,54.4,57,College,2021
IR-C-C-43931,Stella Maris College For Women,Chennai,Tamil Nadu,54.27,58,College,2021
IR-C-C-41054,Dr. N. G. P. Arts and Science College,Coimbatore,Tamil Nadu,54.15,59,College,2021
IR-C-C-6409,Deshbandhu College,New Delhi,Delhi,53.99,60,College,2021
IR-C-C-18938,"Government Institute of Science, Nagpur",Nagpur,Maharashtra,53.93,61,College,2021
