ranking_year,institute_id,institute_name,state,city,calendar_year,category,sub_category,value,unit
2024,IR-O-U-0560,Indian Institute of Technology Roorkee,Uttarakhand,Roorkee,2021,Patents,Number of Patents Granted,11,value in Absolute Number
2024,IR-O-U-0560,Indian Institute of Technology Roorkee,Uttarakhand,Roorkee,2020,Patents,Number of Patents Granted,5,value in Absolute Number
2024,IR-O-U-0139,Indian Institute of Technology Gandhinagar,Gujarat,Gandhinagar,2022,Patents,Number of Patents Published,7,value in Absolute Number
2024,IR-O-U-0139,Indian Institute of Technology Gandhinagar,Gujarat,Gandhinagar,2021,Patents,Number of Patents Published,11,value in Absolute Number
2024,IR-O-U-0139,Indian Institute of Technology Gandhinagar,Gujarat,Gandhinagar,2020,Patents,Number of Patents Published,5,value in Absolute Number
2024,IR-O-U-0139,Indian Institute of Technology Gandhinagar,Gujarat,Gandhinagar,2022,Patents,Number of Patents Granted,4,value in Absolute Number
2024,IR-O-U-0139,Indian Institute of Technology Gandhinagar,Gujarat,Gandhinagar,2021,Patents,Number of Patents Granted,3,value in Absolute Number
2024,IR-O-U-0139,Indian Institute of Technology Gandhinagar,Gujarat,Gandhinagar,2020,Patents,Number of Patents Granted,1,value in Absolute Number
2024,IR-O-U-0013,Indian Institute of Technology Hyderabad,Telangana,Hyderabad,2022,Patents,Number of Patents Published,28,value in Absolute Number
2024,IR-O-U-0013,Indian Institute of Technology Hyderabad,Telangana,Hyderabad,2021,Patents,Number of Patents Published,33,value in Absolute Number
2024,IR-O-U-0013,Indian Institute of Technology Hyderabad,Telangana,Hyderabad,2020,Patents,Number of Patents Published,22,value in Absolute Number
2024,IR-O-U-0013,Indian Institute of Technology Hyderabad,Telangana,Hyderabad,2022,Patents,Number of Patents Granted,12,value in Absolute Number
2024,IR-O-U-0013,Indian Institute of Technology Hyderabad,Telangana,Hyderabad,2021,Patents,Number of Patents Granted,3,value in Absolute Number
2024,IR-O-U-0013,Indian Institute of Technology Hyderabad,Telangana,Hyderabad,2020,Patents,Number of Patents Granted,5,value in Absolute Number
2024,IR-O-U-0378,Indian Institute of Technology Ropar,Punjab,Rupnagar,2022,Patents,Number of Patents Published,11,value in Absolute Number
2024,IR-O-U-0378,Indian Institute of Technology Ropar,Punjab,Rupnagar,2021,Patents,Number of Patents Published,12,value in Absolute Number
2024,IR-O-U-0378,Indian Institute of Technology Ropar,Punjab,Rupnagar,2020,Patents,Number of Patents Published,18,value in Absolute Number
2024,IR-O-U-0378,Indian Institute of Technology Ropar,Punjab,Rupnagar,2022,Patents,Number of Patents Granted,6,value in Absolute Number
2024,IR-O-U-0378,Indian Institute of Technology Ropar,Punjab,Rupnagar,2021,Patents,Number of Patents Granted,5,value in Absolute Number
2024,IR-O-U-0378,Indian Institute of Technology Ropar,Punjab,Rupnagar,2020,Patents,Number of Patents Granted,2,value in Absolute Number
2024,IR-O-U-0273,Indian Institute of Technology Indore,Madhya Pradesh,Indore,2022,Patents,Number of Patents Published,13,value in Absolute Number
2024,IR-O-U-0273,Indian Institute of Technology Indore,Madhya Pradesh,Indore,2021,Patents,Number of Patents Published,11,value in Absolute Number
2024,IR-O-U-0273,Indian Institute of Technology Indore,Madhya Pradesh,Indore,2020,Patents,Number of Patents Published,7,value in Absolute Number
2024,IR-O-U-0273,Indian Institute of Technology Indore,Madhya Pradesh,Indore,2022,Patents,Number of Patents Granted,8,value in Absolute Number
2024,IR-O-U-0273,Indian Institute of Technology Indore,Madhya Pradesh,Indore,2021,Patents,Number of Patents Granted,10,value in Absolute Number
2024,IR-O-U-0273,Indian Institute of Technology Indore,Madhya Pradesh,Indore,2020,Patents,Number of Patents Granted,1,value in Absolute Number
2024,IR-O-U-0184,Indian Institute of Technology Mandi,Himachal Pradesh,Mandi,2022,Patents,Number of Patents Published,17,value in Absolute Number
2024,IR-O-U-0184,Indian Institute of Technology Mandi,Himachal Pradesh,Mandi,2021,Patents,Number of Patents Published,14,value in Absolute Number
2024,IR-O-U-0184,Indian Institute of Technology Mandi,Himachal Pradesh,Mandi,2020,Patents,Number of Patents Published,9,value in Absolute Number
2024,IR-O-U-0184,Indian Institute of Technology Mandi,Himachal Pradesh,Mandi,2022,Patents,Number of Patents Granted,11,value in Absolute Number
2024,IR-O-U-0184,Indian Institute of Technology Mandi,Himachal Pradesh,Mandi,2021,Patents,Number of Patents Granted,6,value in Absolute Number
2024,IR-O-U-0184,Indian Institute of Technology Mandi,Himachal Pradesh,Mandi,2020,Patents,Number of Patents Granted,4,value in Absolute Number
2024,IR-O-U-0701,Indian Institute of Technology (BHU) Varanasi,Uttar Pradesh,Varanasi,2022,Patents,Number of Patents Published,17,value in Absolute Number
2024,IR-O-U-0701,Indian Institute of Technology (BHU) Varanasi,Uttar Pradesh,Varanasi,2021,Patents,Number of Patents Published,70,value in Absolute Number
2024,IR-O-U-0701,Indian Institute of Technology (BHU) Varanasi,Uttar Pradesh,Varanasi,2020,Patents,Number of Patents Published,42,value in Absolute Number
2024,IR-O-U-0701,Indian Institute of Technology (BHU) Varanasi,Uttar Pradesh,Varanasi,2022,Patents,Number of Patents Granted,41,value in Absolute Number
2024,IR-O-U-0701,Indian Institute of Technology (BHU) Varanasi,Uttar Pradesh,Varanasi,2021,Patents,Number of Patents Granted,2,value in Absolute Number
2024,IR-O-U-0701,Indian Institute of Technology (BHU) Varanasi,Uttar Pradesh,Varanasi,2020,Patents,Number of Patents Granted,0,value in Absolute Number
2024,IR-O-U-0205,Indian Institute of Technology (ISM) Dhanbad,Jharkhand,Dhanbad,2022,Patents,Number of Patents Published,11,value in Absolute Number
2024,IR-O-U-0205,Indian Institute of Technology (ISM) Dhanbad,Jharkhand,Dhanbad,2021,Patents,Number of Patents Published,3,value in Absolute Number
2024,IR-O-U-0205,Indian Institute of Technology (ISM) Dhanbad,Jharkhand,Dhanbad,2020,Patents,Number of Patents Published,5,value in Absolute Number
2024,IR-O-U-0205,Indian Institute of Technology (ISM) Dhanbad,Jharkhand,Dhanbad,2022,Patents,Number of Patents Granted,12,value in Absolute Number
2024,IR-O-U-0205,Indian Institute of Technology (ISM) Dhanbad,Jharkhand,Dhanbad,2021,Patents,Number of Patents Granted,7,value in Absolute Number
2024,IR-O-U-0205,Indian Institute of Technology (ISM) Dhanbad,Jharkhand,Dhanbad,2020,Patents,Number of Patents Granted,3,value in Absolute Number
2024,IR-O-U-0220,Indian Institute of Science,Karnataka,Bengaluru,2022,Patents,Number of Patents Published,165,value in Absolute Number
2024,IR-O-U-0220,Indian Institute of Science,Karnataka,Bengaluru,2021,Patents,Number of Patents Published,50,value in Absolute Number
2024,IR-O-U-0220,Indian Institute of Science,Karnataka,Bengaluru,2020,Patents,Number of Patents Published,30,value in Absolute Number
2024,IR-O-U-0220,Indian Institute of Science,Karnataka,Bengaluru,2022,Patents,Number of Patents Granted,62,value in Absolute Number
2024,IR-O-U-0220,Indian Institute of Science,Karnataka,Bengaluru,2021,Patents,Number of Patents Granted,38,value in Absolute Number
2024,IR-O-U-0220,Indian Institute of Science,Karnataka,Bengaluru,2020,Patents,Number of Patents Granted,29,value in Absolute Number
2024,IR-O-U-0490,Vellore Institute of Technology University,Tamil Nadu,Vellore,2022,Patents,Number of Patents Published,76,value in Absolute Number
2024,IR-O-U-0490,Vellore Institute of Technology University,Tamil Nadu,Vellore,2021,Patents,Number of Patents Published,117,value in Absolute Number
2024,IR-O-U-0490,Vellore Institute of Technology University,Tamil Nadu,Vellore,2020,Patents,Number of Patents Published,140,value in Absolute Number
2024,IR-O-U-0490,Vellore Institute of Technology University,Tamil Nadu,Vellore,2022,Patents,Number of Patents Granted,12,value in Absolute Number
2024,IR-O-U-0490,Vellore Institute of Technology University,Tamil Nadu,Vellore,2021,Patents,Number of Patents Granted,18,value in Absolute Number
2024,IR-O-U-0490,Vellore Institute of Technology University,Tamil Nadu,Vellore,2020,Patents,Number of Patents Granted,9,value in Absolute Number
2024,IR-O-U-0500,Banaras Hindu University,Uttar Pradesh,Varanasi,2022,Patents,Number of Patents Published,6,value in Absolute Number
2024,IR-O-U-0500,Banaras Hindu University,Uttar Pradesh,Varanasi,2021,Patents,Number of Patents Published,1,value in Absolute Number
2024,IR-O-U-0500,Banaras Hindu University,Uttar Pradesh,Varanasi,2020,Patents,Number of Patents Published,9,value in Absolute Number
2024,IR-O-U-0500,Banaras Hindu University,Uttar Pradesh,Varanasi,2022,Patents,Number of Patents Granted,4,value in Absolute Number
2024,IR-O-U-0500,Banaras Hindu University,Uttar Pradesh,Varanasi,2021,Patents,Number of Patents Granted,3,value in Absolute Number
2024,IR-O-U-0500,Banaras Hindu University,Uttar Pradesh,Varanasi,2020,Patents,Number of Patents Granted,2,value in Absolute Number
2024,IR-O-U-0439,Saveetha University,Tamil Nadu,Chennai,2022,Patents,Number of Patents Published,70,value in Absolute Number
2024,IR-O-U-0439,Saveetha University,Tamil Nadu,Chennai,2021,Patents,Number of Patents Published,83,value in Absolute Number
2024,IR-O-U-0439,Saveetha University,Tamil Nadu,Chennai,2020,Patents,Number of Patents Published,58,value in Absolute Number
2024,IR-O-U-0439,Saveetha University,Tamil Nadu,Chennai,2022,Patents,Number of Patents Granted,37,value in Absolute Number
2024,IR-O-U-0439,Saveetha University,Tamil Nadu,Chennai,2021,Patents,Number of Patents Granted,34,value in Absolute Number
2024,IR-O-U-0439,Saveetha University,Tamil Nadu,Chennai,2020,Patents,Number of Patents Granted,12,value in Absolute Number
2024,IR-O-U-0234,Manipal Academy of Higher Education,Karnataka,Manipal,2022,Patents,Number of Patents Published,25,value in Absolute Number
2024,IR-O-U-0234,Manipal Academy of Higher Education,Karnataka,Manipal,2021,Patents,Number of Patents Published,22,value in Absolute Number
2024,IR-O-U-0234,Manipal Academy of Higher Education,Karnataka,Manipal,2020,Patents,Number of Patents Published,22,value in Absolute Number
2024,IR-O-U-0234,Manipal Academy of Higher Education,Karnataka,Manipal,2022,Patents,Number of Patents Granted,7,value in Absolute Number
2024,IR-O-U-0234,Manipal Academy of Higher Education,Karnataka,Manipal,2021,Patents,Number of Patents Granted,4,value in Absolute Number
2024,IR-O-U-0234,Manipal Academy of Higher Education,Karnataka,Manipal,2020,Patents,Number of Patents Granted,3,value in Absolute Number
2024,IR-O-U-0473,SRM Institute of Science and Technology,,Chennai,2022,Patents,Number of Patents Published,126,value in Absolute Number
2024,IR-O-U-0473,SRM Institute of Science and Technology,,Chennai,2021,Patents,Number of Patents Published,64,value in Absolute Number
2024,IR-O-U-0473,SRM Institute of Science and Technology,,Chennai,2020,Patents,Number of Patents Published,193,value in Absolute Number
2024,IR-O-U-0473,SRM Institute of Science and Technology,,Chennai,2022,Patents,Number of Patents Granted,32,value in Absolute Number
2024,IR-O-U-0473,SRM Institute of Science and Technology,,Chennai,2021,Patents,Number of Patents Granted,23,value in Absolute Number
