institute_id,institute_name,city,state,score,rank,ranking_category,nirf_year
IR-G-U-0101,Indian Agricultural Research Institute,New Delhi,Delhi,83.16,1,Agriculture,2023
IR-G-U-0171,ICAR - National Dairy Research Institute,Karnal,Haryana,70.45,2,Agriculture,2023
IR-G-U-0381,"Punjab Agricultural University, Ludhiana",Ludhiana,Punjab,65.98,3,Agriculture,2023
IR-G-U-0500,Banaras Hindu University,Varanasi,Uttar Pradesh,63.68,4,Agriculture,2023
IR-G-U-0485,Tamil Nadu Agricultural University,Coimbatore,Tamil Nadu,61.71,5,Agriculture,2023
IR-G-U-0518,"Indian Veterinary Research Institute, Izatnagar",Bareilly,Uttar Pradesh,61.62,6,Agriculture,2023
IR-G-U-0293,"Central Institute of Fisheries Education, Fishries University",Mumbai,Maharashtra,61.03,7,Agriculture,2023
IR-G-U-0554,"G.B. Pant Universtiy of Agriculture and Technology, Pantnagar",Pantnagar,Uttarakhand,60.03,8,Agriculture,2023
IR-G-U-0200,"Sher-e-Kashmir University of Agricultural Science & Technology of Kashmir, Srinagar",Srinagar,Jammu and Kashmir,59.5,9,Agriculture,2023
IR-G-U-0159,Chaudhary Charan Singh Haryana Agricultural University,Hisar,Haryana,59.07,10,Agriculture,2023
IR-G-U-0248,"University of Agricultural Sciences, Bangalore",Bangalore,Karnataka,56.74,11,Agriculture,2023
IR-G-U-0487,Tamil Nadu Veterinary & Animal Sciences University,Chennai,Tamil Nadu,54.2,12,Agriculture,2023
IR-G-C-45375,"National Institute of Food Technology, Entrepreneurship and Management",Thanjavur,Tamil Nadu,53.27,13,Agriculture,2023
IR-G-U-0179,Chaudhary Sarwan Kumar Himachal Pardesh Krishi Vishvavidyalaya,Kangra,Himachal Pradesh,52.67,14,Agriculture,2023
IR-G-U-0257,"Kerala Agricultural University, Thrissur",Thrissur,Kerala,52.52,15,Agriculture,2023
IR-G-U-0568,Bidhan Chandra Krishi Vishwavidyalaya,Nadia,West Bengal,52.07,16,Agriculture,2023
IR-G-U-0181,"Dr. Y.S. Parmar University of Horticulture and Forestry, Solan",Solan,Himachal Pradesh,51.63,17,Agriculture,2023
IR-G-U-0123,Anand Agricultural University,Anand,Gujarat,51.13,18,Agriculture,2023
IR-G-U-0048,"Assam Agricultural University, Jorhat",Jorhat,Assam,50.35,19,Agriculture,2023
IR-G-U-0004,"Acharya NG Ranga Agricultural University, Guntur",Guntur,Andhra Pradesh,48.57,20,Agriculture,2023
IR-G-U-0375,Guru Angad Dev Veterinary & Animal Sciences University,Ludhiana,Punjab,47.79,21,Agriculture,2023
IR-G-U-0360,"Orissa University of Agriculture & Technology, Bhubaneswar",Khordha,Odisha,47.6,22,Agriculture,2023
IR-G-U-0443,Annamalai University,Annamalainagar,Tamil Nadu,47.46,23,Agriculture,2023
IR-G-S-8898,"National Institute of Food Technology, Enterprenurship & Management",Sonipat,Haryana,47.14,24,Agriculture,2023
IR-G-U-0259,Kerala University of Fisheries & Ocean Studies,Kochi,Kerala,46.86,25,Agriculture,2023
IR-G-U-0591,"West Bengal University of Animal and Fishery Sciences, Kolkata",Kolkata,West Bengal,46.64,26,Agriculture,2023
IR-G-U-0379,Lovely Professional University,Phagwara,Punjab,46.6,27,Agriculture,2023
IR-G-U-0246,University of Agricultural Sciences,Dharwad,Karnataka,46.5,28,Agriculture,2023
IR-G-U-0336,Central Agricultural University,Imphal West,Manipur,45.46,29,Agriculture,2023
IR-G-U-0504,"Chandra Shekhar Azad University of Agriculture & Technology, Kanpur",Kanpur,Uttar Pradesh,43.87,30,Agriculture,2023
IR-G-U-0039,Sri Venkateswara Veterinary University,Tirupati,Andhra Pradesh,43.83,31,Agriculture,2023
IR-G-S-14553,National Institute of Agricultural Extension Management,Hyderabad,Telangana,43.46,32,Agriculture,2023
IR-G-U-0075,"Dr Rajendra Prasad Central Agricultural University, Samastipur",Samastipur,Bihar,43.34,33,Agriculture,2023
IR-G-U-0165,Lala lajpat Rai University of Veterinary and Animal Sciences,Hisar,Haryana,43.26,34,Agriculture,2023
IR-G-U-0531,"Acharya Narendra Deva University of Agriculture & Technology, Kumarganj, Ayodhya",Faizabad,Uttar Pradesh,43.13,35,Agriculture,2023
IR-G-U-0315,"Mahatma Phule Krishi Vidyapeeth, Rahuri",Rahuri,Maharashtra,42.89,36,Agriculture,2023
IR-G-U-0231,"Karnataka Vetrinary, Animal & Fisheries Science University, Nandinagar",Bidar,Karnataka,42.57,37,Agriculture,2023
IR-G-U-0140,Junagadh Agricultural University,Junagadh,Gujarat,42.34,38,Agriculture,2023
IR-G-U-0247,"University of Agricultural Sciences, Raichur",Raichur,Karnataka,42.23,39,Agriculture,2023
IR-G-U-0665,Tamil Nadu Dr.J.Jayalalithaa Fisheries University,Nagapattinam,Tamil Nadu,42.1,40,Agriculture,2023
IR-A-U-0560,Indian Institute of Technology Roorkee,Roorkee,Uttarakhand,83.21,1,Architecture,2023
IR-A-U-0263,National Institute of Technology Calicut,Kozhikode,Kerala,78.18,2,Architecture,2023
IR-A-U-0573,Indian Institute of Technology Kharagpur,Kharagpur,West Bengal,76.82,3,Architecture,2023
IR-A-U-0467,National Institute of Technology Tiruchirappalli,Tiruchirappalli,Tamil Nadu,65.42,4,Architecture,2023
IR-A-U-0116,School of Planning and Architecture New Delhi,New Delhi,Delhi,65.14,5,Architecture,2023
IR-A-U-0108,"Jamia Millia Islamia,New Delhi",New Delhi,Delhi,65.13,6,Architecture,2023
IR-A-U-0127,Centre for Environmental Planning and Technology University,Ahmedabad,Gujarat,63.97,7,Architecture,2023
IR-A-U-0357,National Institute of Technology Rourkela,Rourkela,Odisha,63.76,8,Architecture,2023
