institute_id,institute_name,city,state,score,rank,ranking_category,nirf_year
IR-A-U-0573,Indian Institute of Technology Kharagpur,Kharagpur,West Bengal,80.46,1,Architecture,2020
IR-A-U-0560,Indian Institute of Technology Roorkee,Roorkee,Uttarakhand,79.75,2,Architecture,2020
IR-A-U-0263,National Institute of Technology Calicut,Kozhikode,Kerala,69.24,3,Architecture,2020
IR-A-U-0127,Centre for Environmental Planning and Technology University,Ahmedabad,Gujarat,66.68,4,Architecture,2020
IR-A-U-0116,School of Planning and Architecture,New Delhi,Delhi,65.63,5,Architecture,2020
IR-A-U-0584,Indian Institute of Engineering Science and Technology,Shibpur,West Bengal,65.05,6,Architecture,2020
IR-A-U-0626,School of Planning and Architecture,Bhopal,Madhya Pradesh,63.87,7,Architecture,2020
IR-A-U-0467,National Institute of Technology Tiruchirappalli,Tiruchirappalli,Tamil Nadu,60.29,8,Architecture,2020
IR-A-U-0627,School of Planning and Architecture,Vijayawada,Andhra Pradesh,59.63,9,Architecture,2020
IR-A-U-0108,Jamia Millia Islamia,New Delhi,Delhi,56.29,10,Architecture,2020
IR-A-C-43708,College of Engineering Trivandrum,Thiruvananthapuram,Kerala,55.75,11,Architecture,2020
IR-A-C-46330,Manipal Academy of Higher Education,Udupi,Karnataka,53.11,12,Architecture,2020
IR-A-U-0202,Birla Institute of Technology,Ranchi,Jharkhand,52.45,13,Architecture,2020
IR-A-C-57952,BMS College of Arhitecture,Bengaluru,Karnataka,52.18,14,Architecture,2020
IR-A-U-0284,Maulana Azad National Institute of Technology,Bhopal,Madhya Pradesh,51.7,15,Architecture,2020
IR-A-U-0496,Aligarh Muslim University,Aligarh,Uttar Pradesh,51.52,16,Architecture,2020
IR-A-C-26794,Thiagarajar College of Engineering,Madurai,Tamil Nadu,50.3,17,Architecture,2020
IR-A-U-0439,Anna University,Chennai,Tamil Nadu,48.73,18,Architecture,2020
IR-A-U-0189,National Institute of Technology Hamirpur,Hamirpur,Himachal Pradesh,48.59,19,Architecture,2020
IR-A-U-0454,Hindustan Institute of Technology and Science (HITS),Chennai,Tamil Nadu,48.5,20,Architecture,2020
IR-C-C-6355,Miranda House,Delhi,Delhi,77.23,1,College,2020
IR-C-C-6415,Lady Shri Ram College For Women,New Delhi,Delhi,72.08,2,College,2020
IR-C-C-6377,Hindu College,Delhi,Delhi,70.44,3,College,2020
IR-C-C-22470,St. Stephen`s College,Delhi,Delhi,69.67,4,College,2020
IR-C-C-43921,Presidency College,Chennai,Tamil Nadu,68.89,5,College,2020
IR-C-C-44006,Loyola College,Chennai,Tamil Nadu,68.03,6,College,2020
IR-C-C-11926,Ramakrishna Mission Vidyamandira,Howrah,West Bengal,67.59,7,College,2020
IR-C-C-11881,St. Xavier`s College,Kolkata,West Bengal,67.59,7,College,2020
IR-C-C-6425,Hans Raj College,Delhi,Delhi,67.23,9,College,2020
IR-C-C-41046,PSGR Krishnammal College for Women,Coimbatore,Tamil Nadu,66.63,10,College,2020
IR-C-I-1317,Rama Krishna Mission Vivekananda Centenary College,Rahara,West Bengal,66.58,11,College,2020
IR-C-C-6419,Shri Ram College of Commerce,Delhi,Delhi,66.29,12,College,2020
IR-C-C-22462,Atma Ram Sanatan Dharm College,New Delhi,Delhi,66.15,13,College,2020
IR-C-C-6369,Sri Venkateswara College,Delhi,Delhi,66.04,14,College,2020
IR-C-C-6361,Deen Dayal Upadhyaya College,New Delhi,Delhi,65.32,15,College,2020
IR-C-C-6429,Gargi College,Delhi,Delhi,64.53,16,College,2020
IR-C-C-43965,Madras Christian College,Chennai,Tamil Nadu,64.36,17,College,2020
IR-C-C-6380,Acharya Narendra Dev College,New Delhi,Delhi,63.1,18,College,2020
IR-C-C-6385,Kirori Mal College,Delhi,Delhi,62.58,19,College,2020
IR-C-C-42814,Ramakrishna Mission Residential College,Kolkata,West Bengal,62.36,20,College,2020
IR-C-C-6432,Dyal Singh College,New Delhi,Delhi,62.2,21,College,2020
IR-C-C-36513,Thiagarajar College,Madurai,Tamil Nadu,61.29,22,College,2020
IR-C-C-43671,University College,Thiruvananthapuram,Kerala,61.08,23,College,2020
IR-C-C-16178,P. D. Patel Institute of Applied Sciences,Changa,Gujarat,61.01,24,College,2020
IR-C-C-41124,PSG College of Arts and Science,Coimbatore,Tamil Nadu,60.74,25,College,2020
IR-C-C-6367,Daulat Ram College,Delhi,Delhi,60.4,26,College,2020
IR-C-C-41189,Scott Christian College,Nagercoil,Tamil Nadu,59.98,27,College,2020
IR-C-C-11691,Rajagiri College of Social Sciences,Ernakulam,Kerala,59.36,28,College,2020
IR-C-C-41126,Sri Krishna Arts and Science College,Coimbatore,Tamil Nadu,58.56,29,College,2020
IR-C-C-6353,Sri Guru Tegh Bahadur Khalsa College,Delhi,Delhi,58.35,30,College,2020
IR-C-C-35860,St. Joseph's College,Tiruchirappalli,Tamil Nadu,58.27,31,College,2020
IR-C-C-27608,Lady Irwin College,Delhi,Delhi,58.25,32,College,2020
IR-C-C-43964,Madras School of Social Work,Chennai,Tamil Nadu,57.99,33,College,2020
IR-C-C-41035,Government Arts College,Coimbatore,Tamil Nadu,57.81,34,College,2020
IR-C-C-6391,Maitreyi College,New Delhi,Delhi,57.7,35,College,2020
IR-C-C-25376,Andhra Loyola College,Vijayawada,Andhra Pradesh,57.64,36,College,2020
IR-C-C-6420,Jesus & Mary College,New Delhi,Delhi,57.29,37,College,2020
IR-C-C-43946,Women`s Christian College,Chennai,Tamil Nadu,56.78,38,College,2020
IR-C-C-35825,Bishop Heber College,Tiruchirappalli,Tamil Nadu,56.65,39,College,2020
IR-C-C-43705,Government College for Women,Thiruvananthapuram,Kerala,56.56,40,College,2020
IR-C-N-6,Queen Mary`s College,Chennai,Tamil Nadu,56.28,41,College,2020
IR-C-I-1385,Fergusson College,Pune,Maharashtra,56.04,42,College,2020
IR-C-C-6365,Indraprastha College for Women,Delhi,Delhi,55.9,43,College,2020
IR-C-C-6417,Kamala Nehru College,Delhi,Delhi,55.9,43,College,2020
IR-C-C-6412,Maharaja Agrasen College,Delhi,Delhi,55.88,45,College,2020
IR-C-C-43902,Ethiraj College for Women,Chennai,Tamil Nadu,55.76,46,College,2020
IR-C-C-11582,St. Teresa's College,Ernakulam,Kerala,55.6,47,College,2020
IR-C-C-43767,Mar Ivanios College,Thiruvananthapuram,Kerala,55.51,48,College,2020
IR-C-C-29454,IC College of Home Science,Hisar,Haryana,54.93,49,College,2020
IR-C-C-41173,St. Xavier's College,Palayamkottai,Tamil Nadu,54.91,50,College,2020
IR-C-C-6366,Shivaji College,Delhi,Delhi,54.76,51,College,2020
IR-C-C-36578,Lady Doak College,Madurai,Tamil Nadu,54.67,52,College,2020
IR-C-C-36502,Virudhunagar Hindu Nadars' Senthikumara Nadar College,Virudhunagar,Tamil Nadu,54.63,53,College,2020
IR-C-C-35832,Jamal Mohamed College,Tiruchirappalli,Tamil Nadu,54.53,54,College,2020
IR-C-C-11708,Sacred Heart College,Ernakulam,Kerala,54.52,55,College,2020
IR-C-C-6502,Kanchi Mamunivar Centre for Post Graduate Studies,Puducherry,Pondicherry,54.38,56,College,2020
IR-C-C-6411,Shaheed Sukhdev College of Business Studies,New Delhi,Delhi,54.11,57,College,2020
IR-C-C-36579,Ayya Nadar Janaki Ammal College,Sivakasi,Tamil Nadu,53.94,58,College,2020
IR-C-C-5855,St. Xavier's College,Ahmedabad,Gujarat,53.93,59,College,2020
IR-C-I-1323,St. Joseph's College,Kozhikode,Kerala,53.82,60,College,2020
IR-C-C-6431,Ramanujan College,New Delhi,Delhi,53.73,61,College,2020
IR-C-C-33688,College of Social Work Nirmala Niketan,Mumbai,Maharashtra,53.66,62,College,2020
IR-C-C-8169,St. Thomas College,Thrissur,Kerala,53.42,63,College,2020
IR-C-C-43931,Stella Maris College,Chennai,Tamil Nadu,53.36,64,College,2020
IR-C-I-1293,Sri Ramakrishna Mission Vidyalaya College of Arts and Science,Coimbatore,Tamil Nadu,53.32,65,College,2020
IR-C-C-35787,Holy Cross College,Tiruchirappalli,Tamil Nadu,53.27,66,College,2020
IR-C-C-6426,Shaheed Rajguru College of Applied Sciences for Women,Delhi,Delhi,53.22,67,College,2020
IR-C-C-41157,V.O. Chidambaram College,Tuticorin,Tamil Nadu,53.08,68,College,2020
