institute_id,institute_name,city,state,score,rank,ranking_category,nirf_year
IR-O-U-0369,Pondicherry University,Puducherry,Pondicherry,49.0,101,Overall,2024
IR-O-U-0369,Pondicherry University,Puducherry,Pondicherry,49.0,101,University,2024
IR-O-U-0576,Kalyani University,Kalyani,West Bengal,49.0,151,University,2024
IR-O-U-0580,Presidency University,Kolkata,West Bengal,49.0,101,University,2024
IR-O-U-0376,Guru Nanak Dev University,Amritsar,Punjab,47.55,87,Overall,2023
IR-O-U-0376,Guru Nanak Dev University,Amritsar,Punjab,50.19,48,University,2023
