Idp;Institution;Country;Sector;Rank;Global Rank;Percentage;Percentile
97137;Chaitanya Bharathi Institute of Technology;IND;Universities;401;8633;72.51;90
97224;Aditya University;IND;Universities;402;7379;72.69;90
3380;Mangalore University;IND;Universities;403;8886;72.88;90
71601;North East Institute of Science and Technology;IND;Government;404;8332;73.06;90
3494;Utkal University;IND;Universities;405;9321;73.24;90
70620;Dhirubhai Ambani Institute of Information and Communication Technology;IND;Universities;406;9719;73.42;90
97069;KIET Group of Institutions;IND;Universities;407;9095;73.6;90
80463;Central Institute of Fisheries Education;IND;Government;408;7985;73.78;90
77626;BMS College of Engineering;IND;Universities;409;9693;73.96;90
97195;Centurion University of Technology and Management;IND;Universities;410;8865;74.14;90
97199;Institute of Infrastructure, Technology, Research and Management;IND;Universities;411;7855;74.32;90
77659;Rajalakshmi Engineering College;IND;Universities;412;8837;74.5;90
97105;Indian Institute of Management, Rohtak;IND;Universities;413;9212;74.68;90
3267;Central Agricultural University;IND;Universities;414;8479;74.86;91
96267;Kongu Engineering College;IND;Universities;415;7960;75.05;91
97056;CMR Institute of Technology, Bangalore;IND;Universities;416;9468;75.23;91
97090;ISF College of Pharmacy;IND;Universities;417;9508;75.41;91
97161;PSG Institute of Technology and Applied Research;IND;Universities;418;9637;75.59;91
96230;Sri Krishna College of Engineering & Technology;IND;Universities;419;9087;75.77;91
10278;Rajasthan Technical University;IND;Universities;420;8728;75.95;91
70682;Bannari Amman Institute of Technology;IND;Universities;421;8855;76.13;91
94677;TKM College of Engineering;IND;Universities;422;9619;76.31;91
72965;Jawaharlal Nehru Technological University, Kakinada;IND;Universities;423;9369;76.49;91
71243;Kumaraguru College of Technology;IND;Universities;424;8689;76.67;92
77734;Uttarakhand Technical University;IND;Universities;425;9622;76.85;92
96301;Vardhaman College of Engineering;IND;Universities;426;9433;77.03;92
72964;Jawaharlal Nehru Technological University, Anantapur;IND;Universities;427;8955;77.22;92
80571;LNM Institute of Information Technology;IND;Universities;428;9617;77.4;92
97128;Acharya Institutes *;IND;Universities;429;9437;77.58;92
3382;Manipur University;IND;Universities;430;9156;77.76;92
96498;Galgotias Educational Institutions *;IND;Universities;431;8589;77.94;92
3469;Tata Institute of Social Sciences;IND;Universities;432;9202;78.12;92
97140;Pimpri Chinchwad College of Engineering;IND;Universities;433;9586;78.3;92
3280;Deen Dayal Upadhyay Gorakhpur University;IND;Universities;434;8912;78.48;92
97144;M Kumarasamy College of Engineering;IND;Universities;435;7837;78.66;92
26258;Indian Institute of Remote Sensing;IND;Government;436;8895;78.84;92
66683;ISS Academy of Technical Education, Noida;IND;Universities;437;8934;79.02;92
3235;Sant Gadge Baba Amravati University;IND;Universities;438;9160;79.2;92
80562;Vikram Sarabhai Space Centre;IND;Government;439;9721;79.39;92
97121;Silicon University;IND;Universities;440;9383;79.57;93
96253;Guru Nanak Dev Engineering College, Ludhiana;IND;Universities;441;8907;79.75;93
67436;Madhav Institute of Technology and Science, Gwalior;IND;Universities;442;9545;79.93;93
3366;Maharana Pratap University of Agriculture and Technology;IND;Universities;443;8479;80.11;93
26280;Indian Institute of Toxicology Research;IND;Government;444;8252;80.29;93
97087;Vallurupalli Nageswara Rao Vignana Jyothi Institute of Engineering & Technology;IND;Universities;445;9189;80.47;93
72561;Indian Institute of Management, Indore;IND;Universities;446;9218;80.65;93
80568;College of Engineering, Pune;IND;Universities;447;9645;80.83;93
77587;Government College of Technology;IND;Universities;448;9351;81.01;93
97054;CMR Group of Institutions, Bangalore *;IND;Universities;449;9432;81.19;93
91887;Vels Institute of Science Technology and Advanced Studies;IND;Universities;450;9197;81.37;93
96300;National Institute of Technical Teachers Training and Research, Chandigarh;IND;Universities;451;9491;81.56;93
70933;Jaipur National University;IND;Universities;452;9298;81.74;93
26168;Central Institute of Mining and Fuel Research;IND;Government;453;9502;81.92;93
80573;Mepco Schlenk Engineering College;IND;Universities;454;9255;82.1;93
96392;Indian Institute of Horticultural Research;IND;Government;455;9369;82.28;93
71279;National Institute of Technology Jamshedpur;IND;Universities;456;8722;82.46;93
97071;Panimalar Engineering College;IND;Universities;457;8454;82.64;93
3429;Avinashilingam Institute for Home Science & Higher Education for Women;IND;Universities;458;9067;82.82;93
26286;Institute for Plasma Research;IND;Government;459;9500;83;94
97193;St Joseph's College of Engineering;IND;Universities;460;9357;83.18;94
97181;XIM University *;IND;Universities;461;9712;83.36;94
96367;Graphic Era Hill University;IND;Universities;462;9460;83.54;94
77591;Vishwakarma Institute of Technology;IND;Universities;463;9736;83.73;94
71326;Sri Venkateswara College of Engineering;IND;Universities;464;9246;83.91;94
10274;PSG College of Technology;IND;Universities;465;9545;84.09;94
26401;Puducherry Technological University;IND;Universities;466;9600;84.27;94
97153;Maharaja Surajmal Institute of Technology;IND;Universities;467;9443;84.45;94
71621;National Institute of Nutrition, Hyderabad;IND;Health;468;6221;84.63;94
96333;Central Arid Zone Research Institute;IND;Government;469;9202;84.81;94
97075;National Institute of Technology, Agartala;IND;Universities;470;9391;84.99;94
77716;Tumkur University;IND;Universities;471;8978;85.17;94
71286;Central Mechanical Engineering Research Institute;IND;Government;472;9404;85.35;94
97100;University of Engineering & Management, Kolkata;IND;Universities;473;9628;85.53;94
97074;Nitte Meenakshi Institute of Technology;IND;Universities;474;9047;85.71;94
96302;Sri Sairam Engineering College;IND;Universities;475;9525;85.9;94
72567;Indian Institute of Management Lucknow;IND;Universities;476;9331;86.08;95
96227;ABES Engineering College;IND;Universities;477;9635;86.26;95
97066;Sri Krishna College of Technology;IND;Universities;478;9487;86.44;95
72568;Indian Institute of Management, Kozhikode;IND;Universities;479;9391;86.62;95
69264;National Aerospace Laboratories;IND;Government;480;9733;86.8;95
97103;GMR Institute of Technology;IND;Universities;481;8463;86.98;95
97092;Institute of Aeronautical Engineering;IND;Universities;482;9097;87.16;95
26277;Indira Gandhi Centre for Atomic Research;IND;Government;483;9743;87.34;95
70915;AMET University;IND;Universities;484;8917;87.52;95
26352;National Geophysical Research Institute;IND;Government;485;9374;87.7;95
97097;Bapatla Engineering College;IND;Universities;486;8924;87.88;95
97149;Noida Institute of Engineering & Technology;IND;Universities;487;9348;88.07;95
96272;KPR Institute of Engineering and Technology;IND;Universities;488;5079;88.25;95
69339;Coimbatore Institute of Technology;IND;Universities;489;9361;88.43;95
97098;Hindusthan College of Engineering and Technology;IND;Universities;490;8722;88.61;95
77739;Manav Rachna International Institute of Research and Studies;IND;Universities;491;9197;88.79;95
97122;Ajay Kumar Garg Engineering College;IND;Universities;492;9688;88.97;95
96222;Chitkara Educational Trust *;IND;Universities;493;4566;89.15;95
97160;Indian Institute of Management, Raipur;IND;Universities;494;8722;89.33;95
88346;Krishna Institute of Medical Sciences University;IND;Universities;495;7091;89.51;96
26450;Wadia Institute of Himalayan Geology;IND;Government;496;9234;89.69;96
97059;CMR College of Engineering & Technology;IND;Universities;497;8418;89.87;96
96299;Karpagam College of Engineering;IND;Universities;498;9057;90.05;96
96251;Institute of Engineering and Management, Kolkata;IND;Universities;499;9648;90.24;96
97159;Deenbandhu Chhotu Ram University of Science and Technology;IND;Universities;500;9348;90.42;96
96257;International Advanced Research Centre for Powder Metallurgy and New Materials *;IND;Government;501;9677;90.6;96
96438;Galgotias College of Engineering & Technology;IND;Universities;502;9328;90.78;96
97107;SNS College of Technology;IND;Universities;503;9284;90.96;96
26402;Raja Ramanna Centre for Advanced Technology;IND;Government;504;9676;91.14;96
97058;CMR Institute of Technology, Hyderabad;IND;Universities;505;8354;91.32;96
97086;SRM Easwari Engineering College;IND;Universities;506;9193;91.5;96
97136;Sreenidhi Institute of Science and Technology;IND;Universities;507;9578;91.68;96
97819;Vishwakarma Institute of Information Technology;IND;Universities;508;9314;91.86;96
97190;All India Institute of Speech and Hearing;IND;Universities;509;9071;92.04;97
3254;Berhampur University;IND;Universities;510;9634;92.22;97
69335;JSS Science and Technology University;IND;Universities;511;9529;92.41;97
77711;Navsari Agricultural University;IND;Universities;512;9437;92.59;97
97088;KCG College of Technology;IND;Universities;513;9606;92.77;97
96233;Sona College of Technology;IND;Universities;514;9097;92.95;97
96190;National Institute of Advanced Studies;IND;Non-Profit;515;9166;93.13;97
56210;Maulana Azad Medical College;IND;Health;516;5515;93.31;97
97070;Poornima University;IND;Universities;517;9248;93.49;97
77694;University Visvesvaraya College of Engineering;IND;Universities;518;9741;93.67;97
77700;West Bengal State University;IND;Universities;519;9475;93.85;97
97138;Indian Institute of Management, Ranchi;IND;Universities;520;9592;94.03;97
97139;National Engineering College;IND;Universities;521;9298;94.21;97
96250;Shri Ramdeobaba College of Engineering and Management;IND;Universities;522;9620;94.39;97
70963;Yogi Vemana University;IND;Universities;523;8904;94.58;97
97157;ITM University Gwalior;IND;Universities;524;9699;94.76;97
96232;Sri Ramakrishna Engineering College;IND;Universities;525;9506;94.94;98
97089;FORE School of Management;IND;Universities;526;9465;95.12;98
96297;MLR Institute of Technology;IND;Universities;527;9234;95.3;98
77631;Pranveer Singh Institute of Technology;IND;Universities;528;9691;95.48;98
96309;Haldia Institute of Technology;IND;Universities;529;9559;95.66;98
97096;PSGR Krishnammal College for Women;IND;Universities;530;9576;95.84;98
71616;National Metallurgical Laboratory;IND;Government;531;9705;96.02;98
97057;CMR Group of Institutions, Hyderabad *;IND;Universities;532;8771;96.2;98
26149;Birbal Sahni Institute of Palaeobotany;IND;Government;533;9479;96.38;99
97044;CMR Technical Campus;IND;Universities;534;9487;96.56;99
96270;Yeshwantrao Chavan College of Engineering, Nagpur;IND;Universities;535;9643;96.75;99
97076;PSNA College of Engineering & Technology;IND;Universities;536;9502;96.93;99
71034;National Institute of Oceanography;IND;Government;537;9215;97.11;99
62371;Ugc-Dae Consortium for Scientific Research Indore *;IND;Government;538;9686;97.29;99
71307;Medical College and Hospital Kolkata;IND;Health;539;6231;97.47;99
96327;Saveetha Dental College Hospital;IND;Health;540;5998;97.65;99
97133;CVR College of Engineering;IND;Universities;541;9387;97.83;99
10301;Saveetha Engineering College;IND;Universities;542;9653;98.01;99
97163;Kalyani Government Engineering College;IND;Universities;543;9730;98.19;99
26395;Inter-University Accelerator Centre;IND;Government;544;9721;98.37;99
97077;Heritage Institute of Technology;IND;Universities;545;9747;98.55;99
70953;Rajiv Gandhi Proudyogiki Vishwavidyalaya;IND;Universities;546;8472;98.73;100
97142;Arignar Anna Government Arts College, Cheyyar;IND;Universities;547;8822;98.92;100
77656;MIT World Peace University;IND;Universities;548;9082;99.1;100
3411;Orissa University of Agriculture and Technology;IND;Universities;549;9256;99.28;100
94676;TKM Educational Trust *;IND;Non-Profit;550;9558;99.46;100
96363;Saveetha Medical College Hospital;IND;Health;551;6454;99.64;100
3251;Bangalore University;IND;Universities;552;9629;99.82;100
97386;Lajpat Rai Educational Society *;IND;Universities;553;9173;100;100
