Idp;Institution;Country;Sector;Rank;Global Rank;Percentage;Percentile
91915;Chandigarh University;IND;Universities;93;6286;16.82;55
10246;Jawaharlal Nehru Centre for Advanced Scientific Research;IND;Universities;94;7659;17;55
69351;International Centre for Genetic Engineering and Biotechnology, New Delhi;IND;Government;95;5333;17.18;55
92155;Institute of Liver & Biliary Sciences;IND;Health;96;5784;17.36;56
10268;Nirma University;IND;Universities;97;8040;17.54;57
3394;National Institute of Mental Health and Neuro Sciences;IND;Universities;98;5823;17.72;57
62101;Department of Atomic Energy *;IND;Government;99;6773;17.9;57
79127;University of Petroleum and Energy Studies;IND;Universities;100;6784;18.08;57
3418;Pondicherry University;IND;Universities;101;8394;18.26;58
72773;National Institute of Epidemiology;IND;Health;102;2719;18.44;58
77720;KL University;IND;Universities;103;5333;18.63;58
3492;University of Rajasthan;IND;Universities;104;7900;18.81;58
69210;Central Drug Research Institute;IND;Government;105;8907;18.99;59
3318;Indian Institute of Information Technology;IND;Universities;106;9123;19.17;59
69209;L. V. Prasad Eye Institute;IND;Health;107;4472;19.35;59
96390;Indian Agricultural Statistics Research Institute;IND;Government;108;7265;19.53;60
10265;National Institute of Technology, Tiruchirappalli;IND;Universities;109;8059;19.71;60
71066;St.John's National Academy of Health Sciences *;IND;Health;110;5544;19.89;60
3412;Osmania University *;IND;Universities;111;8761;20.07;60
80572;National Institute of Science Education and Research;IND;Government;112;4821;20.25;60
80537;Indian Institute of Science Education and Research, Bhopal;IND;Government;113;7006;20.43;60
74688;Indian Institute of Technology, Gandhinagar;IND;Universities;114;7888;20.61;60
92197;George Institute for Global Health, India;IND;Health;115;2687;20.8;60
3399;National Institute of Technology Rourkela;IND;Universities;116;7291;20.98;60
26273;Indian Space Research Organization *;IND;Government;117;9246;21.16;61
3337;Jadavpur University;IND;Universities;118;6688;21.34;61
10299;University of Calcutta;IND;Universities;119;8047;21.52;61
80539;Indian Institute of Science Education and Research, Mohali;IND;Government;120;6368;21.7;61
91891;Christ University;IND;Universities;121;7876;21.88;61
3255;Bharathiar University;IND;Universities;122;8252;22.06;61
96388;ICAR Research Complex for NEH Region;IND;Government;123;7337;22.24;61
3471;Tezpur University;IND;Universities;124;9022;22.42;62
77701;JSS Academy of Higher Education and Research;IND;Universities;125;6006;22.6;62
71615;Indian Institute of Chemical Technology;IND;Government;126;9197;22.78;62
70986;Thiruvalluvar University;IND;Universities;127;7849;22.97;62
26146;Bhabha Atomic Research Centre;IND;Government;128;8218;23.15;62
91905;Central University of Rajasthan;IND;Universities;129;8619;23.33;62
91912;Sharda University;IND;Universities;130;8329;23.51;62
3397;National Institute of Technology Karnataka;IND;Universities;131;8519;23.69;62
3485;University of Kerala;IND;Universities;132;8585;23.87;63
73481;Indian Institute of Technology Patna;IND;Universities;133;8211;24.05;63
3371;Maharshi Dayanand University;IND;Universities;134;7074;24.23;63
77696;Gujarat Technological University;IND;Universities;135;9202;24.41;63
3464;Tamil Nadu Agricultural University;IND;Universities;136;7291;24.59;63
96185;National Rice Research Institute;IND;Government;137;7659;24.77;63
97857;VIT Bhopal University;IND;Universities;138;2982;24.95;63
3248;Babasaheb Bhimrao Ambedkar University;IND;Universities;139;8428;25.14;63
3352;Kannur University;IND;Universities;140;9545;25.32;64
92077;Indian Institute of Technology Mandi;IND;Universities;141;8385;25.5;64
56234;Amrita Institute for Medical Science and Research;IND;Health;142;6739;25.68;64
3257;Bharati Vidyapeeth Deemed University;IND;Universities;143;8769;25.86;64
26151;Bose Institute Kolkata;IND;Government;144;6860;26.04;64
3436;Sanjay Gandhi Postgraduate Institute of Medical Sciences;IND;Universities;145;6212;26.22;64
26178;Central Plantation Crops Research Institute;IND;Government;146;7505;26.4;64
3444;Sher-e-Kashmir University of Agricultural Sciences and Technology-Srinagar;IND;Universities;147;7670;26.58;64
3489;University of Mysore;IND;Universities;148;8178;26.76;64
71660;National Institute for Research in Tuberculosis;IND;Health;149;3847;26.94;65
3364;Madurai Kamaraj University;IND;Universities;150;9123;27.12;65
96182;Bennett University;IND;Universities;151;7784;27.31;65
3236;Andhra University;IND;Universities;152;8666;27.49;65
77743;Jain University;IND;Universities;153;8354;27.67;66
3312;Guru Nanak Dev University;IND;Universities;154;8172;27.85;66
62560;Central Salt and Marine Chemicals Research Institute;IND;Government;155;8807;28.03;66
92151;National Institute of Technology Raipur;IND;Universities;156;8130;28.21;66
26314;Jawaharlal Institute of Postgraduate Medical Education and Research;IND;Universities;157;5761;28.39;67
3310;Guru Gobind Singh Indraprastha University;IND;Universities;158;8927;28.57;67
3252;Barkatullah University;IND;Universities;159;9447;28.75;67
3439;Sathyabama Institute of Science and Technology;IND;Universities;160;7659;28.93;67
3358;Kumaun University;IND;Universities;161;8165;29.11;67
72486;Institute of Himalayan Bioresource Technology;IND;Government;162;6522;29.29;67
71288;Aryabhatta Research Institute of Observational Sciences;IND;Government;163;2963;29.48;67
71003;National Environmental Engineering Research Institute;IND;Government;164;7764;29.66;67
62562;Sir Ganga Ram Hospital;IND;Health;165;5915;29.84;68
3487;University of Madras;IND;Universities;166;8968;30.02;68
80575;St John's Medical College Hospital;IND;Health;167;6784;30.2;68
3401;National Institute of Technology Warangal;IND;Universities;168;8339;30.38;68
71030;Advanced Materials and Processes Research Institute;IND;Government;169;9160;30.56;69
3484;University of Kashmir;IND;Universities;170;7173;30.74;69
26303;Institute of Mathematical Sciences;IND;Government;171;4571;30.92;69
3379;Malaviya National Institute of Technology;IND;Universities;172;7242;31.1;69
3344;Jawaharlal Nehru Technological University, Hyderabad;IND;Universities;173;9324;31.28;69
3285;Dibrugarh University;IND;Universities;174;8541;31.46;69
3335;International Institute for Population Sciences;IND;Universities;175;4215;31.65;69
92157;Indian Institute of Technology, Jodhpur;IND;Universities;176;8352;31.83;69
96256;Institute of Nano Science and Technology, Mohali;IND;Government;177;9152;32.01;69
3256;Bharathidasan University;IND;Universities;178;7982;32.19;69
3242;Atal Bihari Vajpayee Indian Institute of Information Technology and Management, Gwalior;IND;Universities;179;9578;32.37;69
80538;Indian Institute of Science Education and Research, Kolkata;IND;Government;180;6712;32.55;70
80196;Maharishi Markandeshwar University *;IND;Universities;181;7070;32.73;70
3239;Annamalai University;IND;Universities;182;7833;32.91;70
3348;Kakatiya University;IND;Universities;183;9137;33.09;70
73484;Indian Institute of Technology, Ropar;IND;Universities;184;8745;33.27;70
91885;GLA University;IND;Universities;185;7689;33.45;70
92032;Homi Bhabha National Institute;IND;Universities;186;5467;33.63;71
3480;University of Calicut;IND;Universities;187;9215;33.82;71
97154;Centre for Energy and Environmental Sustainability;IND;Non-Profit;188;2202;34;71
3486;University of Lucknow;IND;Universities;189;9007;34.18;71
3503;Vidyasagar University;IND;Universities;190;7014;34.36;71
26245;Indian Institute of Astrophysics;IND;Government;191;3377;34.54;71
3414;Pandit Ravishankar Shukla University;IND;Universities;192;8865;34.72;71
3501;Veer Narmad South Gujarat University;IND;Universities;193;9175;34.9;72
77608;Jaypee Institute of Information Technology;IND;Universities;194;9173;35.08;72
3234;Allahabad University;IND;Universities;195;8815;35.26;72
3488;University of Mumbai;IND;Universities;196;9374;35.44;72
71309;National Institute for Interdisciplinary Science and Technology;IND;Government;197;9248;35.62;72
96236;National Institute of Technology, Patna;IND;Universities;198;8375;35.8;72
80570;College of Engineering, Thiruvananthapuram;IND;Universities;199;9707;35.99;72
97068;Doon University;IND;Universities;200;8385;36.17;72
3452;Sree Chitra Tirunal Institute for Medical Sciences and Technology;IND;Universities;201;8271;36.35;72
26305;Institute of Physics Bhubaneswar;IND;Government;202;3210;36.53;72
96460;National Bureau of Plant Genetic Resources;IND;Government;203;8059;36.71;72
3300;Gauhati University;IND;Universities;204;8047;36.89;72
3398;National Institute of Technology Kurukshetra;IND;Universities;205;8560;37.07;73
97191;Indian Institute of Science Education and Research, Berhampur;IND;Government;206;6892;37.25;73
26237;Indian Association for the Cultivation of Science;IND;Universities;207;8761;37.43;73
3422;I K Gujral Punjab Technical University;IND;Universities;208;7817;37.61;73
70906;Gandhi Institute of Technology and Management;IND;Universities;209;8659;37.79;73
88360;Teerthanker Mahaveer University;IND;Universities;210;8144;37.97;73
73483;Indian Institute of Technology, Bhubaneswar;IND;Universities;211;7730;38.16;73
3376;Mahatma Jyotiba Phule Rohilkhand University;IND;Universities;212;8438;38.34;73
62349;Indian Institute of Management, Ahmedabad;IND;Universities;213;8955;38.52;73
70922;Kalasalingam Academy of Research and Education;IND;Universities;214;7110;38.7;73
3409;North-Eastern Hill University;IND;Universities;215;9115;38.88;73
97201;Indian Institute of Technology, Dharwad;IND;Universities;216;9653;39.06;74
26414;Sant Longowal Institute of Engineering and Technology;IND;Universities;217;8111;39.24;74
3490;University of North Bengal;IND;Universities;218;8837;39.42;74
