institute_id,institute_name,city,state,score,rank,ranking_category,nirf_year
IR-A-U-0573,Indian Institute of Technology Kharagpur,Kharagpur,West Bengal,81.96,1,Architecture,2019
IR-A-U-0560,Indian Institute of Technology Roorkee,Roorkee,Uttarakhand,78.33,2,Architecture,2019
IR-A-U-0263,National Institute of Technology Calicut,Kozhikode,Kerala,65.52,3,Architecture,2019
IR-A-U-0116,School of Planning and Architecture New Delhi,New Delhi,Delhi,62.49,4,Architecture,2019
IR-A-C-43708,College of Engineering,Thiruvananthapuram,Kerala,59.47,5,Architecture,2019
IR-A-U-0626,School of Planning and Architecture Bhopal,Bhopal,Madhya Pradesh,58.72,6,Architecture,2019
IR-A-U-0467,National Institute of Technology Tiruchirappalli,Tiruchirappalli,Tamil Nadu,58.65,7,Architecture,2019
IR-A-U-0108,Jamia Millia Islamia,New Delhi,Delhi,58.07,8,Architecture,2019
IR-A-U-0627,School of Planning and Architecture Vijayawada,Vijayawada,Andhra Pradesh,57.07,9,Architecture,2019
IR-A-U-0202,Birla Institute of Technology,Ranchi,Jharkhand,56.62,10,Architecture,2019
IR-A-C-24004,College of Engineering Visakhapatnam,Visakhapatnam,Andhra Pradesh,55.7,11,Architecture,2019
IR-A-U-0439,Anna University,Chennai,Tamil Nadu,53.29,12,Architecture,2019
IR-A-U-0496,Aligarh Muslim University,Aligarh,Uttar Pradesh,52.17,13,Architecture,2019
IR-A-U-0284,Maulana Azad National Institute of Technology,Bhopal,Madhya Pradesh,51.87,14,Architecture,2019
IR-A-C-57952,BMS College of Architecture,Bengaluru,Karnataka,50.61,15,Architecture,2019
IR-C-C-6355,Miranda House,Delhi,Delhi,73.72,1,College,2019
IR-C-C-6377,Hindu College,Delhi,Delhi,70.57,2,College,2019
IR-C-C-43921,Presidency College,Chennai,Tamil Nadu,68.01,3,College,2019
IR-C-C-22470,St. Stephen`s College,Delhi,Delhi,67.55,4,College,2019
IR-C-C-6415,Lady Shri Ram College for Women,New Delhi,Delhi,66.71,5,College,2019
IR-C-C-44006,Loyola College,Chennai,Tamil Nadu,66.31,6,College,2019
IR-C-C-6419,Shri Ram College of Commerce,Delhi,Delhi,64.94,7,College,2019
IR-C-I-1317,Rama Krishna Mission Vivekananda Centenary College,Rahara,West Bengal,64.76,8,College,2019
IR-C-C-6425,Hans Raj College,Delhi,Delhi,64.65,9,College,2019
IR-C-C-11881,St. Xavier`s College,Calcutta,West Bengal,64.5,10,College,2019
IR-C-C-11926,Ramakrishna Mission Vidyamandira,Howrah,West Bengal,64.35,11,College,2019
IR-C-C-6429,Gargi College,Delhi,Delhi,64.11,12,College,2019
IR-C-C-43965,Madras Christian College,Chennai,Tamil Nadu,63.98,13,College,2019
IR-C-C-22462,Atma Ram Sanatan Dharm College,New Delhi,Delhi,63.55,14,College,2019
IR-C-C-42814,Ramakrishna Mission Residential College,Kolkata,West Bengal,63.53,15,College,2019
IR-C-C-6361,Deen Dayal Upadhyaya College,New Delhi,Delhi,62.66,16,College,2019
IR-C-C-41124,PSG College of Arts and Science,Coimbatore,Tamil Nadu,62.42,17,College,2019
IR-C-C-6385,Kirori Mal College,Delhi,Delhi,61.67,18,College,2019
IR-C-C-6369,Sri Venkateswara College,Delhi,Delhi,61.28,19,College,2019
IR-C-C-6432,Dyal Singh College,New Delhi,Delhi,60.77,20,College,2019
IR-C-C-27608,Lady Irwin College,Delhi,Delhi,60.53,21,College,2019
IR-C-C-41046,PSGR Krishnammal College for Women,Coimbatore,Tamil Nadu,59.77,22,College,2019
IR-C-C-43671,University College,Thiruvananthapuram,Kerala,59.37,23,College,2019
IR-C-C-6380,Acharya Narendra Dev College,New Delhi,Delhi,58.42,24,College,2019
IR-C-C-6420,Jesus & Mary College,New Delhi,Delhi,58.37,25,College,2019
IR-C-C-16178,P. D. Patel Institute of Applied Sciences,Changa,Gujarat,58.29,26,College,2019
IR-C-I-1385,Fergusson College,Pune,Maharashtra,58.1,27,College,2019
IR-C-C-6353,Sri Guru Tegh Bahadur Khalsa College,Delhi,Delhi,57.94,28,College,2019
IR-C-C-43767,Mar Ivanios College,Thiruvananthapuram,Kerala,57.86,29,College,2019
IR-C-C-41189,Scott Christian College,Nagercoil,Tamil Nadu,57.69,30,College,2019
IR-C-C-6426,Shaheed Rajguru College of Applied Sciences for Women,Delhi,Delhi,57.57,31,College,2019
IR-C-C-43946,Women`s Christian College,Chennai,Tamil Nadu,57.44,32,College,2019
IR-C-C-41035,Government Arts College,Coimbatore,Tamil Nadu,57.19,33,College,2019
IR-C-C-36513,Thiagarajar College,Madurai,Tamil Nadu,57.11,34,College,2019
IR-C-C-11691,Rajagiri College of Social Sciences,Ernakulam,Kerala,55.38,35,College,2019
IR-C-C-43902,Ethiraj College for Women,Chennai,Tamil Nadu,55.3,36,College,2019
IR-C-C-6367,Daulat Ram College,Delhi,Delhi,55.29,37,College,2019
IR-C-C-6391,Maitreyi College,New Delhi,Delhi,54.85,38,College,2019
