institute_id,institute_name,city,state,score,rank,ranking_category,nirf_year
IR-5-A-OEMAL-U-0573,Indian Institute of Technology Kharagpur,,,69.71,1,Architecture,2018
IR-4-A-OEMA-U-0560,Indian Institute of Technology Roorkee,,,71.11,2,Architecture,2018
IR-3-A-OEA-U-0116,School of Planning and Architecture New Delhi,,,67.29,3,Architecture,2018
IR-3-A-EMA-C-43708,College of Engineering Trivandrum,,,59.74,4,Architecture,2018
IR-1-A-A-U-0626,School of Planning and Architecture Bhopal,,,77.27,5,Architecture,2018
IR-4-A-OEMA-U-0439,Anna University,,,55.25,6,Architecture,2018
IR-3-A-OEA-C-17029,JNAFAU School of Planning and Architecture,,,69.21,7,Architecture,2018
IR-5-A-OEMAL-U-0108,Jamia Millia Islamia,,,52.07,8,Architecture,2018
IR-3-A-OEA-U-0189,National Institute of Technology Hamirpur,,,48.36,9,Architecture,2018
IR-1-A-A-C-46330,"Faculty of Architecture, Manipal Academy of Higher Education",,,59.09,10,Architecture,2018
IR-2-C-OC-C-6355,Miranda House,,,77.7,1,College,2018
IR-2-C-OC-C-22470,St. Stephen`s College,,,79.35,2,College,2018
IR-1-C-C-C-6377,Hindu College,,,74.76,4,College,2018
IR-1-C-C-C-43921,Presidency College,,,81.82,5,College,2018
IR-1-C-C-C-44006,Loyola College,,,67.45,6,College,2018
IR-1-C-C-C-6419,Shri Ram College of Commerce,,,72.17,7,College,2018
IR-2-C-OC-C-6415,Lady Shri Ram College for Women,,,71.62,8,College,2018
IR-1-C-C-C-11926,Ramakrishna Mission Vidyamandira,,,84.98,9,College,2018
IR-1-C-C-C-43965,Madras Christian College,,,74.43,10,College,2018
IR-1-C-C-C-41124,PSG College of Arts and Science,,,61.65,11,College,2018
IR-1-C-C-C-27608,Lady Irwin College,,,81.2,12,College,2018
IR-1-C-C-C-6361,Deen Dayal Upadhyaya College,,,76.83,13,College,2018
IR-1-C-C-C-22462,Atma Ram Sanatan Dharm College,,,78.43,14,College,2018
IR-2-C-OC-C-6429,Gargi College,,,77.1,15,College,2018
IR-1-C-C-C-41046,PSGR Krishnammal College for Women,,,66.63,16,College,2018
IR-2-C-OC-C-11881,St. Xavier`s College,,,56.16,17,College,2018
IR-1-C-C-C-43671,University College,,,75.58,18,College,2018
IR-2-C-OC-I-1385,Fergusson College,,,57.87,19,College,2018
IR-1-C-C-C-6385,Kirori Mal College,,,72.98,20,College,2018
IR-1-C-C-C-6425,Hans Raj College,,,70.78,21,College,2018
IR-2-C-OC-C-43946,Women`s Christian College,,,71.06,22,College,2018
IR-2-C-OC-C-6353,Sri Guru Tegh Bahadur Khalsa College,,,79.93,23,College,2018
IR-2-C-OC-C-6369,Sri Venkateswara College,,,71.94,24,College,2018
IR-2-C-OC-C-6432,Dyal Singh College,,,77.39,25,College,2018
IR-2-C-OC-C-6431,Ramanujan College,,,73.21,26,College,2018
IR-1-C-C-C-6380,Acharya Narendra Dev College,,,82.74,27,College,2018
IR-1-C-C-C-35860,St. Joseph`s College,,,62.67,28,College,2018
IR-1-C-C-I-1317,Rama Krishna Mission Vivekananda Centenary College,,,67.37,29,College,2018
IR-1-C-C-C-43931,Stella Maris College for Women,,,60.82,30,College,2018
IR-1-C-C-C-11986,Loreto College,,,56.56,31,College,2018
IR-2-C-OC-C-6412,Maharaja Agrasen College,,,79.54,32,College,2018
IR-1-C-C-C-41035,Government Arts College,,,75.11,33,College,2018
IR-2-C-OC-I-1323,St. Joseph`s College,,,71.75,34,College,2018
IR-1-C-C-C-26356,Silver Jubilee Degree College,,,74.11,35,College,2018
IR-1-C-C-C-43767,Mar Ivanios College,,,62.95,36,College,2018
IR-2-C-OC-C-41189,Scott Christian College,,,76.22,37,College,2018
IR-1-C-C-C-43902,Ethiraj College for Women,,,60.16,38,College,2018
IR-1-C-C-I-1293,Sri Ramakrishna Mission Vidyalaya College of Arts & Science,,,66.73,39,College,2018
IR-1-C-C-C-42814,Ramakrishna Mission Residential College,,,74.91,40,College,2018
IR-1-C-C-C-11708,Sacred Heart College,,,72.93,41,College,2018
IR-1-C-C-C-35787,Holy Cross College,,,65.07,42,College,2018
