ranking_year,ranking_category,institute_id,institute_name,state,city,academic_year,category,value,unit
2024,Overall,IR-O-U-0139,Indian Institute of Technology Gandhinagar,Gujarat,Gandhinagar,2021-22,Amount received (INR),29238348.0,value in Rupees
2024,Overall,IR-O-U-0139,Indian Institute of Technology Gandhinagar,Gujarat,Gandhinagar,2020-21,Amount received (INR),20855000.0,value in Rupees
2024,Overall,IR-O-U-0395,Indian Institute of Technology Jodhpur,Rajasthan,Jodhpur,2022-23,Number of sponsored projects,269.0,value in Absolute Number
2024,Overall,IR-O-U-0395,Indian Institute of Technology Jodhpur,Rajasthan,Jodhpur,2021-22,Number of sponsored projects,220.0,value in Absolute Number
2024,Overall,IR-O-U-0395,Indian Institute of Technology Jodhpur,Rajasthan,Jodhpur,2020-21,Number of sponsored projects,142.0,value in Absolute Number
2024,Overall,IR-O-U-0395,Indian Institute of Technology Jodhpur,Rajasthan,Jodhpur,2022-23,Amount received (INR),371553394.0,value in Rupees
2024,Overall,IR-O-U-0395,Indian Institute of Technology Jodhpur,Rajasthan,Jodhpur,2021-22,Amount received (INR),477446648.0,value in Rupees
2024,Overall,IR-O-U-0395,Indian Institute of Technology Jodhpur,Rajasthan,Jodhpur,2020-21,Amount received (INR),267786546.0,value in Rupees
2024,Overall,IR-O-U-0395,Indian Institute of Technology Jodhpur,Rajasthan,Jodhpur,2022-23,Amount received (INR),156169784.0,value in Rupees
2024,Overall,IR-O-U-0395,Indian Institute of Technology Jodhpur,Rajasthan,Jodhpur,2021-22,Amount received (INR),75242765.0,value in Rupees
2024,Overall,IR-O-U-0395,Indian Institute of Technology Jodhpur,Rajasthan,Jodhpur,2020-21,Amount received (INR),23100596.0,value in Rupees
2024,Overall,IR-O-U-0273,Indian Institute of Technology Indore,Madhya Pradesh,Indore,2022-23,Number of sponsored projects,174.0,value in Absolute Number
2024,Overall,IR-O-U-0273,Indian Institute of Technology Indore,Madhya Pradesh,Indore,2021-22,Number of sponsored projects,206.0,value in Absolute Number
2024,Overall,IR-O-U-0273,Indian Institute of Technology Indore,Madhya Pradesh,Indore,2020-21,Number of sponsored projects,353.0,value in Absolute Number
2024,Overall,IR-O-U-0273,Indian Institute of Technology Indore,Madhya Pradesh,Indore,2022-23,Amount received (INR),330254903.0,value in Rupees
2024,Overall,IR-O-U-0273,Indian Institute of Technology Indore,Madhya Pradesh,Indore,2021-22,Amount received (INR),220649268.0,value in Rupees
2024,Overall,IR-O-U-0273,Indian Institute of Technology Indore,Madhya Pradesh,Indore,2020-21,Amount received (INR),256326631.0,value in Rupees
2024,Overall,IR-O-U-0273,Indian Institute of Technology Indore,Madhya Pradesh,Indore,2022-23,Amount received (INR),49463820.0,value in Rupees
2024,Overall,IR-O-U-0273,Indian Institute of Technology Indore,Madhya Pradesh,Indore,2021-22,Amount received (INR),34639900.0,value in Rupees
2024,Overall,IR-O-U-0273,Indian Institute of Technology Indore,Madhya Pradesh,Indore,2020-21,Amount received (INR),15656968.0,value in Rupees
2024,Overall,IR-O-U-0701,Indian Institute of Technology (BHU) Varanasi,Uttar Pradesh,Varanasi,2022-23,Number of sponsored projects,421.0,value in Absolute Number
2024,Overall,IR-O-U-0701,Indian Institute of Technology (BHU) Varanasi,Uttar Pradesh,Varanasi,2021-22,Number of sponsored projects,325.0,value in Absolute Number
2024,Overall,IR-O-U-0701,Indian Institute of Technology (BHU) Varanasi,Uttar Pradesh,Varanasi,2020-21,Number of sponsored projects,219.0,value in Absolute Number
2024,Overall,IR-O-U-0701,Indian Institute of Technology (BHU) Varanasi,Uttar Pradesh,Varanasi,2022-23,Amount received (INR),328564287.0,value in Rupees
2024,Overall,IR-O-U-0701,Indian Institute of Technology (BHU) Varanasi,Uttar Pradesh,Varanasi,2021-22,Amount received (INR),290548221.0,value in Rupees
2024,Overall,IR-O-U-0701,Indian Institute of Technology (BHU) Varanasi,Uttar Pradesh,Varanasi,2020-21,Amount received (INR),289963998.0,value in Rupees
2024,Overall,IR-O-U-0701,Indian Institute of Technology (BHU) Varanasi,Uttar Pradesh,Varanasi,2022-23,Amount received (INR),242974613.0,value in Rupees
2024,Overall,IR-O-U-0701,Indian Institute of Technology (BHU) Varanasi,Uttar Pradesh,Varanasi,2021-22,Amount received (INR),193158980.0,value in Rupees
2024,Overall,IR-O-U-0701,Indian Institute of Technology (BHU) Varanasi,Uttar Pradesh,Varanasi,2020-21,Amount received (INR),128762896.0,value in Rupees
2024,Overall,IR-O-U-0064,Indian Institute of Technology Tirupati,Andhra Pradesh,Tirupati,2022-23,Number of sponsored projects,63.0,value in Absolute Number
2024,Overall,IR-O-U-0064,Indian Institute of Technology Tirupati,Andhra Pradesh,Tirupati,2021-22,Number of sponsored projects,40.0,value in Absolute Number
2024,Overall,IR-O-U-0064,Indian Institute of Technology Tirupati,Andhra Pradesh,Tirupati,2020-21,Number of sponsored projects,38.0,value in Absolute Number
