institute_id,institute_name,city,state,score,rank,ranking_category,nirf_year
IR-A-U-0560,"Indian Institute of Technology, Roorkee",Roorkee,Uttarakhand,83.46,1,Architecture,2022
IR-A-U-0263,"National Institute of Technology, Calicut",Kozhikode,Kerala,77.35,2,Architecture,2022
IR-A-U-0573,"Indian Institute of Technology, Kharagpur",Kharagpur,West Bengal,75.42,3,Architecture,2022
IR-A-U-0116,"School of Planning and Architecture, New Delhi",New Delhi,Delhi,66.37,4,Architecture,2022
IR-A-U-0467,"National Institute of Technology, Tiruchirappalli",Tiruchirappalli,Tamil Nadu,65.19,5,Architecture,2022
IR-A-U-0584,"Indian Institute of Engineering Science and Technology, Shibpur",Howrah,West Bengal,64.17,6,Architecture,2022
IR-A-U-0627,"School of Planning & Architecture, Vijayawada",Vijayawada,Andhra Pradesh,63.55,7,Architecture,2022
IR-A-U-0334,"Visvesvaraya National Institute of Technology, Nagpur",Nagpur,Maharashtra,62.64,8,Architecture,2022
IR-A-U-0108,"Jamia Millia Islamia, New Delhi",New Delhi,Delhi,61.21,9,Architecture,2022
IR-A-U-0626,"School of Planning and Architecture, Bhopal",Bhopal,Madhya Pradesh,61.15,10,Architecture,2022
IR-A-U-0473,S.R.M. Institute of Science and Technology,Chennai,Tamil Nadu,59.32,11,Architecture,2022
IR-A-U-0379,Lovely Professional University,Phagwara,Punjab,57.8,12,Architecture,2022
IR-A-U-0496,Aligarh Muslim University,Aligarh,Uttar Pradesh,57.44,13,Architecture,2022
IR-A-C-43708,"College of Engineering, Trivandrum",Thiruvananthapuram,Kerala,56.21,14,Architecture,2022
IR-A-C-46330,"Manipal School of Architecture and Planning, Mahe",Udupi,Karnataka,55.83,15,Architecture,2022
IR-A-U-0201,Shri Mata Vaishno Devi University,Katra,Jammu and Kashmir,55.75,16,Architecture,2022
IR-A-C-1331,M. S. Ramaiah Institute of Technology,Bengaluru,Karnataka,54.82,17,Architecture,2022
IR-A-C-57952,BMS College of Arhitecture,Bengaluru,Karnataka,54.78,18,Architecture,2022
IR-A-U-0747,Chandigarh University,Mohali,Punjab,54.49,19,Architecture,2022
IR-A-U-0284,Maulana Azad National Institute of Technology,Bhopal,Madhya Pradesh,51.67,20,Architecture,2022
IR-A-U-0146,Nirma University,Ahmedabad,Gujarat,51.54,21,Architecture,2022
IR-A-U-0373,Chitkara University,Rajpura,Punjab,51.5,22,Architecture,2022
