ranking_year,ranking_category,institute_id,institute_name,state,city,academic_year,category,value,unit,expected_name
2024,Overall,IR-O-U-0446,Post Graduate Institute of Medical Education and Research,,Chandigarh,2021-22,Amount received (INR),297670950.0,value in Rupees,Bharath Institute of Higher Education and Research
2024,Overall,IR-O-U-0446,Post Graduate Institute of Medical Education and Research,,Chandigarh,2020-21,Amount received (INR),45347340.0,value in Rupees,Bharath Institute of Higher Education and Research
2024,Overall,IR-O-U-0331,Tata Institute of Fundamental Research,,Mumbai,2022-23,Number of sponsored projects,370.0,value in Absolute Number,Tata Institute of Social Sciences
2024,Overall,IR-O-U-0331,Tata Institute of Fundamental Research,,Mumbai,2021-22,Number of sponsored projects,392.0,value in Absolute Number,Tata Institute of Social Sciences
2024,Overall,IR-O-U-0331,Tata Institute of Fundamental Research,,Mumbai,2020-21,Number of sponsored projects,388.0,value in Absolute Number,Tata Institute of Social Sciences
2024,Overall,IR-O-U-0331,Tata Institute of Fundamental Research,,Mumbai,2022-23,Amount received (INR),316713386.0,value in Rupees,Tata Institute of Social Sciences
2024,Overall,IR-O-U-0331,Tata Institute of Fundamental Research,,Mumbai,2021-22,Amount received (INR),315287303.0,value in Rupees,Tata Institute of Social Sciences
2024,Overall,IR-O-U-0331,Tata Institute of Fundamental Research,,Mumbai,2020-21,Amount received (INR),293380071.0,value in Rupees,Tata Institute of Social Sciences
2024,Overall,IR-O-U-0331,Tata Institute of Fundamental Research,,Mumbai,2022-23,Amount received (INR),503743081.0,value in Rupees,Tata Institute of Social Sciences
2024,Overall,IR-O-U-0331,Tata Institute of Fundamental Research,,Mumbai,2021-22,Amount received (INR),275440351.0,value in Rupees,Tata Institute of Social Sciences
2024,Overall,IR-O-U-0331,Tata Institute of Fundamental Research,,Mumbai,2020-21,Amount received (INR),95454521.0,value in Rupees,Tata Institute of Social Sciences
2024,Overall,IR-O-U-0217,Chitkara University,,Chandigarh,2022-23,Number of sponsored projects,47.0,value in Absolute Number,Christ University
2024,Overall,IR-O-U-0217,Chitkara University,,Chandigarh,2021-22,Number of sponsored projects,29.0,value in Absolute Number,Christ University
2024,Overall,IR-O-U-0217,Chitkara University,,Chandigarh,2020-21,Number of sponsored projects,22.0,value in Absolute Number,Christ University
2024,Overall,IR-O-U-0217,Chitkara University,,Chandigarh,2022-23,Amount received (INR),32186597.0,value in Rupees,Christ University
2024,Overall,IR-O-U-0217,Chitkara University,,Chandigarh,2021-22,Amount received (INR),28164497.0,value in Rupees,Christ University
2024,Overall,IR-O-U-0217,Chitkara University,,Chandigarh,2020-21,Amount received (INR),20072456.0,value in Rupees,Christ University
2024,Overall,IR-O-U-0217,Chitkara University,,Chandigarh,2022-23,Amount received (INR),32366340.0,value in Rupees,Christ University
2024,Overall,IR-O-U-0217,Chitkara University,,Chandigarh,2021-22,Amount received (INR),31185422.0,value in Rupees,Christ University
2024,Overall,IR-O-U-0217,Chitkara University,,Chandigarh,2020-21,Amount received (INR),20606551.0,value in Rupees,Christ University
2024,Overall,IR-O-U-0574,Indian Statistical Institute,,Kolkata,2022-23,Number of sponsored projects,51.0,value in Absolute Number,"Indian Statistical Institute, Kolkata"
2024,Overall,IR-O-U-0574,Indian Statistical Institute,,Kolkata,2021-22,Number of sponsored projects,47.0,value in Absolute Number,"Indian Statistical Institute, Kolkata"
2024,Overall,IR-O-U-0574,Indian Statistical Institute,,Kolkata,2020-21,Number of sponsored projects,55.0,value in Absolute Number,"Indian Statistical Institute, Kolkata"
2024,Overall,IR-O-U-0574,Indian Statistical Institute,,Kolkata,2022-23,Amount received (INR),78919283.0,value in Rupees,"Indian Statistical Institute, Kolkata"
2024,Overall,IR-O-U-0574,Indian Statistical Institute,,Kolkata,2021-22,Amount received (INR),71946697.0,value in Rupees,"Indian Statistical Institute, Kolkata"
2024,Overall,IR-O-U-0574,Indian Statistical Institute,,Kolkata,2020-21,Amount received (INR),120161713.0,value in Rupees,"Indian Statistical Institute, Kolkata"
2024,Overall,IR-O-U-0574,Indian Statistical Institute,,Kolkata,2022-23,Amount received (INR),35218465.0,value in Rupees,"Indian Statistical Institute, Kolkata"
2024,Overall,IR-O-U-0574,Indian Statistical Institute,,Kolkata,2021-22,Amount received (INR),41955288.0,value in Rupees,"Indian Statistical Institute, Kolkata"
2024,Overall,IR-O-U-0574,Indian Statistical Institute,,Kolkata,2020-21,Amount received (INR),38412066.0,value in Rupees,"Indian Statistical Institute, Kolkata"
2024,Overall,IR-O-U-0329,Symbiosis International University,Maharashtra,Pune,2022-23,Number of sponsored projects,104.0,value in Absolute Number,Symbiosis International
2024,Overall,IR-O-U-0329,Symbiosis International University,Maharashtra,Pune,2021-22,Number of sponsored projects,88.0,value in Absolute Number,Symbiosis International
2024,Overall,IR-O-U-0329,Symbiosis International University,Maharashtra,Pune,2020-21,Number of sponsored projects,82.0,value in Absolute Number,Symbiosis International
2024,Overall,IR-O-U-0329,Symbiosis International University,Maharashtra,Pune,2022-23,Amount received (INR),100109423.0,value in Rupees,Symbiosis International
2024,Overall,IR-O-U-0329,Symbiosis International University,Maharashtra,Pune,2021-22,Amount received (INR),73788777.0,value in Rupees,Symbiosis International
