iso3,n_conflicts,max_diff,mean_diff
ISR,7,0.6130583490000001,0.49986871871428573
AUS,12,0.19960898800000004,0.12977008241666663
TUR,2,0.137797817,0.13103985199999998
CAN,1,0.1250043059999999,0.1250043059999999
CHE,4,0.1180197289999998,0.08312568949999999
RUS,15,0.08871882500000017,0.0756454414
GBR,1,0.07722317199999962,0.07722317199999962
