name_norm,institute_name_nirf,nirf_institute_ids,academic_year,ranking_year,research_funding_cr,sponsored_projects,total_expenditure_cr
jawaharlal nehru university,Jawaharlal Nehru University,IR-O-U-0109,2022-23,2024,28.14,193,
kasturba medical college manipal,"Kasturba Medical College, Manipal",IR-D-C-7242,2022-23,2024,94.35,325,
kerala university,Kerala University,IR-O-U-0260,2022-23,2024,33.2,48,
king george s medical university,King George's Medical University,IR-D-U-0523|IR-O-U-0523,2022-23,2024,21.4,289,
koneru lakshmaiah education foundation university k l college of engineering,Koneru Lakshmaiah Education Foundation University (K L College of Engineering),IR-O-U-0020,2022-23,2024,10.36,234,
lovely professional university,Lovely Professional University,IR-O-U-0379,2022-23,2024,6.41,1014,
maharashtra national law university mumbai,Maharashtra National Law University Mumbai,IR-L-U-0886,2022-23,2024,0.06,1,
malaviya national institute of technology jaipur,Malaviya National Institute of Technology Jaipur,IR-E-U-0410,2022-23,2024,11.29,47,
manipal academy of higher education,Manipal Academy of Higher Education,IR-O-U-0234,2022-23,2024,35.01,385,
mysore university,Mysore University,IR-O-U-0235,2022-23,2024,50.44,83,
national institute of technology durgapur,National Institute of Technology Durgapur,IR-E-U-0577|IR-O-U-0577,2022-23,2024,19.84,155,
national institute of technology karnataka,National Institute of Technology Karnataka,IR-E-U-0237|IR-O-U-0237,2022-23,2024,23.47,200,
national institute of technology rourkela,National Institute of Technology Rourkela,IR-E-U-0357|IR-O-U-0357,2022-23,2024,28.74,82,
national institute of technology tiruchirappalli,National Institute of Technology Tiruchirappalli,IR-E-U-0467|IR-O-U-0467,2022-23,2024,14.78,46,
national institute of technology warangal,National Institute of Technology Warangal,IR-E-U-0025|IR-O-U-0025,2022-23,2024,15.87,220,
osmania university,Osmania University,IR-O-U-0027,2022-23,2024,32.55,62,
panjab university,Panjab University,IR-O-U-0078,2022-23,2024,19.84,275,
punjab agricultural university,Punjab Agricultural University,IR-O-U-0381,2022-23,2024,127.31,480,
punjabi university,Punjabi University,IR-P-U-0383,2022-23,2024,0.17,2,
s r m institute of science and technology,S.R.M. Institute of Science and Technology,IR-O-U-0473,2022-23,2024,28.24,391,
sardar vallabhbhai national institute of technology surat,Sardar Vallabhbhai National Institute of Technology Surat,IR-E-U-0149,2022-23,2024,3.83,114,
sathyabama institute of science and technology,Sathyabama Institute of Science and Technology,IR-O-U-0474,2022-23,2024,22.57,158,
savitribai phule pune university,Savitribai Phule Pune University,IR-O-U-0323,2022-23,2024,7.46,70,
siksha o anusandhan,Siksha `O` Anusandhan,IR-O-U-0363,2022-23,2024,9.71,88,
sri ramachandra institute of higher education and research,Sri Ramachandra Institute of Higher Education and Research,IR-O-I-1486,2022-23,2024,58.27,299,
sri venkateswara university,Sri Venkateswara University,IR-O-U-0037,2022-23,2024,11.49,12,
symbiosis international,Symbiosis International,IR-O-U-0329,2022-23,2024,10.01,104,
tamil nadu agricultural university,Tamil Nadu Agricultural University,IR-O-U-0485,2022-23,2024,90.91,490,
tata institute of fundamental research,Tata Institute of Fundamental Research,IR-R-U-0330,2022-23,2024,18.15,48,
thapar institute of engineering and technology deemed to be university,Thapar Institute of Engineering and Technology (Deemed-to-be-university),IR-E-I-1480,2022-23,2024,10.85,44,
university of delhi,University of Delhi,IR-O-U-0120,2022-23,2024,49.11,444,
university of hyderabad,University of Hyderabad,IR-O-U-0042,2022-23,2024,65.09,458,
university of kashmir,University of Kashmir,IR-O-U-0196,2022-23,2024,13.25,84,
university of lucknow,University of Lucknow,IR-O-U-0524,2022-23,2024,13.54,140,
university of madras,University of Madras,IR-O-I-1357,2022-23,2024,22.22,51,
upes,UPES,IR-O-U-0564,2022-23,2024,1.57,20,
vel tech rangarajan dr sagunthala r d institute of science and technology,Vel Tech Rangarajan Dr. Sagunthala R&D Institute of Science and Technology,IR-O-U-0489,2022-23,2024,0.91,20,
vellore institute of technology,Vellore Institute of Technology,IR-E-U-0490,2022-23,2024,13.91,146,
