institution_id,openalex_id,canonical_name,scimago_idp,scimago_rank,scimago_global_rank,scimago_pct,scimago_percentile,scimago_q1_pct,scimago_year
ead97a8a-02d7-4f7b-b0b3-0a56f78257cb,I197081775,Annamalai University,3239,182,7833,32.91,70.0,32.91,2019
f03f9fd4-2251-4e13-8c6c-5e3ca946f289,I48018076,Christ University,91891,121,7876,21.88,61.0,21.88,2019
d5b58b79-7727-4cac-b9d6-1735e93b2968,I191972202,Amity University,10197,16,2992,2.89,22.0,2.89,2019
ac8b1844-88b8-465a-9729-6f0ca11190f9,I74319210,Chitkara University,91891,121,7876,21.88,61.0,21.88,2019
3ccdda45-076a-4fcb-af38-2f4b09aa8ccb,I200207707,Homi Bhabha National Institute,92032,186,5467,33.63,71.0,33.63,2019
d031820e-53e0-49a4-b0c5-edb3a7724b8a,I60054993,Graphic Era University,77741,242,7454,43.76,76.0,43.76,2019
0d8fc077-1885-4fe9-a175-49b042facab9,I6498739,Indian Statistical Institute,3328,83,7084,15.01,53.0,15.01,2019
620c0800-344d-45c2-8c05-b0876f7dac8f,I172917736,"Christian Medical College, Vellore",56265,59,5139,10.67,49.0,10.67,2019
edf10c4c-ca24-4805-b33c-ddf5428d22ff,I16292982,National Institute of Technology Rourkela,3399,116,7291,20.98,60.0,20.98,2019
6f6f6042-e2c5-451a-a92d-2bc27b8fa5e4,I83205935,Malaviya National Institute of Technology Jaipur,3379,172,7242,31.1,69.0,31.1,2019
d93978d3-2c97-47c6-8d5a-b6472222104c,I74796645,"Birla Institute of Technology and Science, Pilani",3264,26,4906,4.7,28.0,4.7,2019
80153acc-b176-42b7-b0f1-dd40b152084d,I215927,University of Madras,3487,166,8968,30.02,68.0,30.02,2019
5866f537-6318-4586-bf6d-4433c5b4bbf7,I122964287,National Institute of Technology Tiruchirappalli,10265,109,8059,19.71,60.0,19.71,2019
e53966df-0e1d-4551-bffd-ab1bde3800e4,I244572783,Symbiosis International University,3463,79,5986,14.29,53.0,14.29,2019
48e9b5fb-0b5b-42f0-a98b-cbc31d34b300,I67357951,KIIT University,77676,66,6368,11.93,51.0,11.93,2019
4521b7d6-9c9f-41f9-8061-593ae0c361dc,I106826634,Jain University,77743,153,8354,27.67,66.0,27.67,2019
04e4f2b0-9883-4fb8-9c64-cb5b49d6b361,I100887729,Andhra University,3236,152,8666,27.49,65.0,27.49,2019
4dec3aaa-d6ae-4b77-ac09-50d7bdc68bb2,I43814544,Sathyabama Institute of Science and Technology,3439,160,7659,28.93,67.0,28.93,2019
fb160d73-523e-4f2a-8052-11f55f43e268,I175691731,Pondicherry University,3418,101,8394,18.26,58.0,18.26,2019
0975bc21-a976-44a9-a251-f0e626168e55,I8975392,Osmania University,3412,111,8761,20.07,60.0,20.07,2019
2519526b-e995-469e-ae6f-8385feff245c,I4210131147,SRM University,97004,364,6712,65.82,86.0,65.82,2019
1a4bb242-813a-46c1-8f5a-8782d5040d19,I169877490,University of Mumbai,3488,196,9374,35.44,72.0,35.44,2019
90352157-ced6-4e2a-b6ef-515ed6cc5aac,I193073490,Siksha O Anusandhan University,3462,230,8339,41.59,75.0,41.59,2019
f520daa7-29f5-4b11-b9a4-9b02860351ec,I863896202,Delhi Technological University,70629,72,7379,13.02,52.0,13.02,2019
c7c580b5-a5eb-45ec-9dde-854ee5af23c0,I162030827,Thapar Institute of Engineering & Technology,3472,48,6545,8.68,43.0,8.68,2019
52ef5836-d1be-4182-9b45-218b36478268,I167751958,Institute of Chemical Technology,77673,49,9067,8.86,44.0,8.86,2019
1f4b5eaa-ddfb-448c-8805-4c0936e40f61,I165682329,Guru Nanak Dev University,3312,154,8172,27.85,66.0,27.85,2019
c1a7591c-a5be-413d-bcfb-050692c5edef,I134900695,Tamil Nadu Agricultural University,3464,136,7291,24.59,63.0,24.59,2019
74aaf314-5e8c-4cde-9333-83e97345070d,I4076070,Bharathidasan University,3256,178,7982,32.19,69.0,32.19,2019
d653d230-8e4e-4388-b50b-790fea6d666f,I11880225,National Institute of Technology Karnataka,3397,131,8519,23.69,62.0,23.69,2019
0d1ac996-32b9-43ac-8e4f-e44cb90c8c1c,I111575329,Bharathiar University,3255,122,8252,22.06,61.0,22.06,2019
b45c2598-3515-4da1-9660-75a5ff4428fa,I121750182,National Institute of Technology Warangal,3401,168,8339,30.38,68.0,30.38,2019
d538b33b-7df6-426d-a326-e6336207fb5f,I170558118,Sri Venkateswara University,3459,353,9041,63.83,86.0,63.83,2019
d2ab91c0-a50d-44ef-b03b-6fab30b3d767,I280994,King George's Medical University,69208,77,4862,13.92,53.0,13.92,2019
7693ea92-ef4b-486f-96c6-89db3749c43e,I885392262,GITAM University,3502,5,661,0.9,12.0,0.9,2019
b20ed218-ebd3-4a6b-a2c8-9bef7907b934,I899646,Punjab Agricultural University,3421,272,8299,49.19,79.0,49.19,2019
104fe323-87bc-48e9-a752-22b34af999bb,I186246823,University of Lucknow,3486,189,9007,34.18,71.0,34.18,2019
cb03a5e5-b2f5-4e95-af9f-a170aab03713,I165998391,Indian Association for the Cultivation of Science,26237,207,8761,37.43,73.0,37.43,2019
d601a25e-5d3b-4d71-aa65-699b49346b71,I887998513,Bharati Vidyapeeth Deemed University,3257,143,8769,25.86,64.0,25.86,2019
b2d3eebd-0307-42ad-9f36-2a10b73de285,I168893459,University of Allahabad,3481,82,7845,14.83,53.0,14.83,2019
