institution_id,tier,inst_type,city,state,openalex_id,ror_id,total_works,match_confidence,is_hub,nirf_institute_id,nirf_rank,nirf_score,nirf_year,canonical_name,latitude,longitude,geo_source
e9cc852d-c229-4457-a316-e8f38255c048,premier,IIT,Kharagpur,West Bengal,I145894827,03w5sq511,69750,manual,False,IR-O-U-0573,6,74.77,2024,Indian Institute of Technology Kharagpur,22.3146519,87.3099912,campus_indian_institute_of_technology_kharagpur
49837a23-0599-4a35-a43f-15be413cc1a0,premier,IIT,Mumbai,Maharashtra,I162827531,02qyf5152,63634,manual,False,IR-O-U-0306,3,81.37,2024,Indian Institute of Technology Bombay,19.133602,72.915631,campus_powai_iitb
62ed1d2c-52ae-4ba2-8c99-95f009b95972,premier,IIT,Chennai,Tamil Nadu,I24676775,03v0r5n49,0,manual,False,IR-O-U-0456,1,86.42,2024,Indian Institute of Technology Madras,12.9915,80.2337,campus_iit_madras
129be347-f8df-4fd2-b553-37ff0fd31af1,premier,IIT,Kanpur,Uttar Pradesh,I94234084,05pjsgx75,50817,manual,False,IR-O-I-1075,5,77.56,2024,Indian Institute of Technology Kanpur,26.513188,80.2364843,campus_indian_institute_of_technology_kanpur
0e3df575-bd15-41f1-821e-51c48763aa57,premier,IIT,New Delhi,Delhi,I68891433,049tgcd06,70217,manual,False,IR-O-I-1074,4,80.31,2024,Indian Institute of Technology Delhi,28.5455,77.1926,campus_iit_delhi
bb26b384-ecf2-4f86-8b53-dd74d42d8f05,premier,IIT,Guwahati,Assam,I1317621060,0022nd079,33254,manual,False,IR-O-U-0053,9,69.04,2024,Indian Institute of Technology Guwahati,26.1924788,91.6946357,campus_indian_institute_of_technology_guwahati
f755a6a4-7f5e-4286-a36e-f3db5550661d,premier,IIT,Roorkee,Uttarakhand,I154851008,00582g326,49898,manual,False,IR-O-U-0560,8,71.52,2024,Indian Institute of Technology Roorkee,29.8661656,77.8957348,campus_indian_institute_of_technology_roorkee
d51bcfb2-a187-49fa-9ebd-fd12ae98e331,premier,IIT,Bhubaneswar,Odisha,I99729588,04gx72j20,9485,manual,False,IR-E-U-0355,54,52.54,2024,Indian Institute of Technology Bhubaneswar,20.2961,85.8248,campus_iit_bbs
c4ff2815-fe99-4fc1-a6c3-402ac6322a76,premier,IIT,Gandhinagar,Gujarat,I27674431,0036p5w23,8988,manual,False,IR-O-U-0139,29,58.77,2024,Indian Institute of Technology Gandhinagar,23.2155,72.6858,campus_iit_gandhinagar
7553f510-4039-4c36-b5d3-2dd983d9bc70,premier,IIT,Hyderabad,Telangana,I65181880,01j4v3x97,19425,manual,False,IR-O-U-0013,12,66.69,2024,Indian Institute of Technology Hyderabad,17.4224884,78.5404469,campus_indian_institute_of_technology_hyderabad
5bcb34a1-ac72-47e1-9dd5-b295d7e8664f,premier,IIT,Jodhpur,Rajasthan,I154549908,03yacj906,8298,manual,False,IR-O-U-0395,68,52.24,2024,Indian Institute of Technology Jodhpur,26.4729401,73.1143375,campus_indian_institute_of_technology_jodhpur
ff60ecf0-39c2-4a17-a941-2b03df4ce12b,premier,IIT,Patna,Bihar,I132153292,01ft5vz71,9382,manual,False,IR-O-U-0064,73,51.24,2024,Indian Institute of Technology Patna,25.5424381,84.8516072,campus_indian_institute_of_technology_patna
