institution_id,canonical_name,research_funding_cr,sponsored_projects,total_expenditure_cr,funding_academic_year,match_score
6f6f6042-e2c5-451a-a92d-2bc27b8fa5e4,Malaviya National Institute of Technology Jaipur,11.29,47,,2022-23,1.0
d93978d3-2c97-47c6-8d5a-b6472222104c,"Birla Institute of Technology and Science, Pilani",33.06,190,,2022-23,1.0
80153acc-b176-42b7-b0f1-dd40b152084d,University of Madras,22.22,51,,2022-23,1.0
5866f537-6318-4586-bf6d-4433c5b4bbf7,National Institute of Technology Tiruchirappalli,14.78,46,,2022-23,1.0
529bfa45-38b5-4fa3-ad24-0cdc1a731124,Koneru Lakshmaiah Education Foundation,,,,,
e53966df-0e1d-4551-bffd-ab1bde3800e4,Symbiosis International University,,,,,
d8caf76d-8ea5-44f6-939d-e450309d2de1,"Kasturba Medical College, Manipal",94.35,325,,2022-23,1.0
48e9b5fb-0b5b-42f0-a98b-cbc31d34b300,KIIT University,,,,,
4521b7d6-9c9f-41f9-8061-593ae0c361dc,Jain University,,,,,
04e4f2b0-9883-4fb8-9c64-cb5b49d6b361,Andhra University,50.33,87,,2022-23,1.0
4dec3aaa-d6ae-4b77-ac09-50d7bdc68bb2,Sathyabama Institute of Science and Technology,22.57,158,,2022-23,1.0
fb160d73-523e-4f2a-8052-11f55f43e268,Pondicherry University,,,,,
0975bc21-a976-44a9-a251-f0e626168e55,Osmania University,32.55,62,,2022-23,1.0
2519526b-e995-469e-ae6f-8385feff245c,SRM University,,,,,
1a4bb242-813a-46c1-8f5a-8782d5040d19,University of Mumbai,,,,,
90352157-ced6-4e2a-b6ef-515ed6cc5aac,Siksha O Anusandhan University,,,,,
f520daa7-29f5-4b11-b9a4-9b02860351ec,Delhi Technological University,11.02,15,,2022-23,1.0
c7c580b5-a5eb-45ec-9dde-854ee5af23c0,Thapar Institute of Engineering & Technology,,,,,
52ef5836-d1be-4182-9b45-218b36478268,Institute of Chemical Technology,29.81,171,,2022-23,1.0
1f4b5eaa-ddfb-448c-8805-4c0936e40f61,Guru Nanak Dev University,,,,,
c1a7591c-a5be-413d-bcfb-050692c5edef,Tamil Nadu Agricultural University,90.91,490,,2022-23,1.0
74aaf314-5e8c-4cde-9333-83e97345070d,Bharathidasan University,34.86,60,,2022-23,1.0
d653d230-8e4e-4388-b50b-790fea6d666f,National Institute of Technology Karnataka,23.47,200,,2022-23,1.0
0d1ac996-32b9-43ac-8e4f-e44cb90c8c1c,Bharathiar University,13.69,110,,2022-23,1.0
b45c2598-3515-4da1-9660-75a5ff4428fa,National Institute of Technology Warangal,15.87,220,,2022-23,1.0
5f71086b-ce24-4741-89c7-c8583ab5948c,Dr. Hari Singh Gour University,,,,,
d538b33b-7df6-426d-a326-e6336207fb5f,Sri Venkateswara University,11.49,12,,2022-23,1.0
eee22ec4-aa39-45b3-95e0-7f6250924a00,Vel Tech Rangarajan Dr. Sagunthala R&D Institute of Science and Technology,0.91,20,,2022-23,1.0
d2ab91c0-a50d-44ef-b03b-6fab30b3d767,King George's Medical University,21.4,289,,2022-23,1.0
7693ea92-ef4b-486f-96c6-89db3749c43e,GITAM University,,,,,
b20ed218-ebd3-4a6b-a2c8-9bef7907b934,Punjab Agricultural University,127.31,480,,2022-23,1.0
104fe323-87bc-48e9-a752-22b34af999bb,University of Lucknow,13.54,140,,2022-23,1.0
cb03a5e5-b2f5-4e95-af9f-a170aab03713,Indian Association for the Cultivation of Science,,,,,
d601a25e-5d3b-4d71-aa65-699b49346b71,Bharati Vidyapeeth Deemed University,21.41,237,,2022-23,1.0
b2d3eebd-0307-42ad-9f36-2a10b73de285,University of Allahabad,,,,,
e1b3f8dc-6b5d-403e-ac6f-b1a3573c4021,University of Kalyani,,,,,
ac895106-caa3-41c5-8959-084d58f9383c,University of Mysore,,,,,
282dc4ff-9668-4730-a565-5fc0ae4aa9f3,All India Institute of Medical Sciences Bhopal,31.73,144,,2022-23,1.0
d56d1ee4-862c-4274-8441-c2db9590627d,"G.S. Science, Arts And Commerce College",,,,,
f7c6962b-4442-458c-90b7-eec41137a0d9,"Indian Institute of Engineering Science and Technology, Shibpur",2.36,45,,2022-23,1.0
38518a3c-9425-41d0-8068-2e2332a46de1,All India Institute of Medical Sciences Raipur,5.41,71,,2022-23,1.0
e952e5d1-7eb4-40a2-88a2-3dc7118e2255,Cochin University of Science and Technology,85.37,139,,2022-23,1.0
8a91aa93-1bba-4381-a03c-d032be364f69,University of Petroleum and Energy Studies,1.57,20,,2022-23,1.0
646437d3-b8bf-4df0-933f-437279dffc88,Jawaharlal Institute of Post Graduate Medical Education and Research,15.99,119,,2022-23,1.0
a6628147-0d10-4564-bae9-b8be8be7cd21,Sardar Vallabhbhai National Institute of Technology Surat,3.83,114,,2022-23,1.0
c9e12928-adad-470b-bcc3-a64f958bd34b,Central University of Rajasthan,0.62,10,,2022-23,1.0
8f79bb14-2687-41a1-a556-23a0a56f5210,Presidency University,,,,,
9657935b-6b9b-4504-9bec-eb245e65da0f,Government Medical College,0.32,6,,2022-23,1.0
a216703f-5b10-44cb-8fe0-11f6ff1cd1bd,National Institute of Technology Durgapur,19.84,155,,2022-23,1.0
5cb3587e-a197-4ece-8d45-9f364c87990f,Jamia Hamdard,22.48,133,,2022-23,1.0
4aeb5e4d-7ee0-4ca2-a8ed-10cf13445ffc,GLA University,,,,,
4aa00129-4c2f-4e57-9053-cbf0c58dd2c1,University of Kashmir,13.25,84,,2022-23,1.0
