inst_a,inst_b,openalex_a,openalex_b,year,weight,citation_weight
38518a3c-9425-41d0-8068-2e2332a46de1,2dbad614-cedc-4bdc-a02e-8a66054a8bd9,I129734738,I63739035,2019,378,2745
282dc4ff-9668-4730-a565-5fc0ae4aa9f3,2dbad614-cedc-4bdc-a02e-8a66054a8bd9,I4210106490,I63739035,2019,386,2683
18ae8c5a-a263-4906-9d6a-25bf48ed31e6,2dbad614-cedc-4bdc-a02e-8a66054a8bd9,I171210897,I63739035,2021,8,422
38518a3c-9425-41d0-8068-2e2332a46de1,c7f37aac-de96-454a-bf3d-af0ff418e79e,I129734738,I164861460,2020,2,368
38518a3c-9425-41d0-8068-2e2332a46de1,d2ab91c0-a50d-44ef-b03b-6fab30b3d767,I129734738,I280994,2020,9,390
38518a3c-9425-41d0-8068-2e2332a46de1,282dc4ff-9668-4730-a565-5fc0ae4aa9f3,I129734738,I4210106490,2020,573,5471
38518a3c-9425-41d0-8068-2e2332a46de1,131f1481-eede-4a15-a738-57b4c90b26ad,I129734738,I45294948,2020,44,1213
38518a3c-9425-41d0-8068-2e2332a46de1,0e011302-5676-4cf1-95b3-f0adc82f6893,I129734738,I51317819,2020,28,596
38518a3c-9425-41d0-8068-2e2332a46de1,646437d3-b8bf-4df0-933f-437279dffc88,I129734738,I61923386,2020,14,693
38518a3c-9425-41d0-8068-2e2332a46de1,2dbad614-cedc-4bdc-a02e-8a66054a8bd9,I129734738,I63739035,2020,609,5603
c7f37aac-de96-454a-bf3d-af0ff418e79e,d2ab91c0-a50d-44ef-b03b-6fab30b3d767,I164861460,I280994,2020,3,498
c7f37aac-de96-454a-bf3d-af0ff418e79e,282dc4ff-9668-4730-a565-5fc0ae4aa9f3,I164861460,I4210106490,2020,2,368
c7f37aac-de96-454a-bf3d-af0ff418e79e,131f1481-eede-4a15-a738-57b4c90b26ad,I164861460,I45294948,2020,2,411
c7f37aac-de96-454a-bf3d-af0ff418e79e,0e011302-5676-4cf1-95b3-f0adc82f6893,I164861460,I51317819,2020,16,609
c7f37aac-de96-454a-bf3d-af0ff418e79e,646437d3-b8bf-4df0-933f-437279dffc88,I164861460,I61923386,2020,6,440
c7f37aac-de96-454a-bf3d-af0ff418e79e,2dbad614-cedc-4bdc-a02e-8a66054a8bd9,I164861460,I63739035,2020,16,802
d2ab91c0-a50d-44ef-b03b-6fab30b3d767,282dc4ff-9668-4730-a565-5fc0ae4aa9f3,I280994,I4210106490,2020,10,395
d2ab91c0-a50d-44ef-b03b-6fab30b3d767,0e011302-5676-4cf1-95b3-f0adc82f6893,I280994,I51317819,2020,34,620
d2ab91c0-a50d-44ef-b03b-6fab30b3d767,646437d3-b8bf-4df0-933f-437279dffc88,I280994,I61923386,2020,4,399
282dc4ff-9668-4730-a565-5fc0ae4aa9f3,131f1481-eede-4a15-a738-57b4c90b26ad,I4210106490,I45294948,2020,44,1393
282dc4ff-9668-4730-a565-5fc0ae4aa9f3,0e011302-5676-4cf1-95b3-f0adc82f6893,I4210106490,I51317819,2020,18,556
282dc4ff-9668-4730-a565-5fc0ae4aa9f3,646437d3-b8bf-4df0-933f-437279dffc88,I4210106490,I61923386,2020,12,662
282dc4ff-9668-4730-a565-5fc0ae4aa9f3,2dbad614-cedc-4bdc-a02e-8a66054a8bd9,I4210106490,I63739035,2020,599,5755
131f1481-eede-4a15-a738-57b4c90b26ad,0e011302-5676-4cf1-95b3-f0adc82f6893,I45294948,I51317819,2020,54,1443
131f1481-eede-4a15-a738-57b4c90b26ad,646437d3-b8bf-4df0-933f-437279dffc88,I45294948,I61923386,2020,24,787
0e011302-5676-4cf1-95b3-f0adc82f6893,646437d3-b8bf-4df0-933f-437279dffc88,I51317819,I61923386,2020,12,508
0e011302-5676-4cf1-95b3-f0adc82f6893,2dbad614-cedc-4bdc-a02e-8a66054a8bd9,I51317819,I63739035,2020,80,1262
646437d3-b8bf-4df0-933f-437279dffc88,2dbad614-cedc-4bdc-a02e-8a66054a8bd9,I61923386,I63739035,2020,37,987
38518a3c-9425-41d0-8068-2e2332a46de1,282dc4ff-9668-4730-a565-5fc0ae4aa9f3,I129734738,I4210106490,2022,672,2994
38518a3c-9425-41d0-8068-2e2332a46de1,2dbad614-cedc-4bdc-a02e-8a66054a8bd9,I129734738,I63739035,2022,734,3269
282dc4ff-9668-4730-a565-5fc0ae4aa9f3,2dbad614-cedc-4bdc-a02e-8a66054a8bd9,I4210106490,I63739035,2022,724,3278
38518a3c-9425-41d0-8068-2e2332a46de1,282dc4ff-9668-4730-a565-5fc0ae4aa9f3,I129734738,I4210106490,2016,256,2293
