institution_id,openalex_id,degree,is_hub
c7c580b5-a5eb-45ec-9dde-854ee5af23c0,I162030827,1236,False
52ef5836-d1be-4182-9b45-218b36478268,I167751958,379,False
1f4b5eaa-ddfb-448c-8805-4c0936e40f61,I165682329,929,False
c1a7591c-a5be-413d-bcfb-050692c5edef,I134900695,217,False
74aaf314-5e8c-4cde-9333-83e97345070d,I4076070,1214,False
d653d230-8e4e-4388-b50b-790fea6d666f,I11880225,1398,False
0d1ac996-32b9-43ac-8e4f-e44cb90c8c1c,I111575329,471,False
b45c2598-3515-4da1-9660-75a5ff4428fa,I121750182,720,False
5f71086b-ce24-4741-89c7-c8583ab5948c,I8977528,660,False
d538b33b-7df6-426d-a326-e6336207fb5f,I170558118,650,False
eee22ec4-aa39-45b3-95e0-7f6250924a00,I1330855593,2023,False
d2ab91c0-a50d-44ef-b03b-6fab30b3d767,I280994,1371,False
7693ea92-ef4b-486f-96c6-89db3749c43e,I885392262,924,False
b20ed218-ebd3-4a6b-a2c8-9bef7907b934,I899646,265,False
104fe323-87bc-48e9-a752-22b34af999bb,I186246823,847,False
cb03a5e5-b2f5-4e95-af9f-a170aab03713,I165998391,830,False
d601a25e-5d3b-4d71-aa65-699b49346b71,I887998513,692,False
b2d3eebd-0307-42ad-9f36-2a10b73de285,I168893459,866,False
e1b3f8dc-6b5d-403e-ac6f-b1a3573c4021,I77501641,1062,False
ac895106-caa3-41c5-8959-084d58f9383c,I204743663,201,False
282dc4ff-9668-4730-a565-5fc0ae4aa9f3,I4210106490,11099,True
d56d1ee4-862c-4274-8441-c2db9590627d,I4210144496,364,False
f7c6962b-4442-458c-90b7-eec41137a0d9,I98365261,1532,False
38518a3c-9425-41d0-8068-2e2332a46de1,I129734738,11159,True
e952e5d1-7eb4-40a2-88a2-3dc7118e2255,I20497027,272,False
8a91aa93-1bba-4381-a03c-d032be364f69,I5847235,951,False
646437d3-b8bf-4df0-933f-437279dffc88,I61923386,1314,False
a6628147-0d10-4564-bae9-b8be8be7cd21,I42014448,739,False
c9e12928-adad-470b-bcc3-a64f958bd34b,I76777374,9806,True
8f79bb14-2687-41a1-a556-23a0a56f5210,I157674215,1409,False
9657935b-6b9b-4504-9bec-eb245e65da0f,I129862065,629,False
a216703f-5b10-44cb-8fe0-11f6ff1cd1bd,I155837530,1081,False
5cb3587e-a197-4ece-8d45-9f364c87990f,I19716509,1577,False
4aeb5e4d-7ee0-4ca2-a8ed-10cf13445ffc,I82571370,1015,False
4aa00129-4c2f-4e57-9053-cbf0c58dd2c1,I135388327,652,False
338f6c5e-2956-40cf-80ce-2047521fc9ef,I115715567,790,False
8c466cdb-a2a4-4bf0-856f-f28560ed0e3b,I20107917,851,False
cb1e371e-ffd1-4175-974b-b91e8cbe4ea1,I155125381,777,False
20a76e3b-d397-44ea-a50b-42ad2940af51,I79161377,596,False
b2210d61-d364-40bd-abfa-2d7b5023d562,I141641110,427,False
81dfed4d-dcca-4b15-8548-b5b5d98fa6c4,I932239252,717,False
36d17eae-f23d-4896-8bb8-848c7ba25547,I19008122,356,False
149ca745-c80a-4eb3-97bd-36ad7d8e4b2b,I4210108783,791,False
5374b462-1d87-4026-a9dd-901a6e394a62,I10874241,336,False
a281fcbb-f4c9-4634-9e3a-a1aa7b0c9321,I65220239,850,False
73f788c8-33d5-4d60-9d7a-bb3fd5221d14,I158338959,181,False
