institution_id,canonical_name,academic_year,research_funding_cr,sponsored_projects,total_expenditure_cr,funding_academic_year,match_score
fef15cf2-3c2a-4059-85a5-f9737b912a4c,Chandigarh University,2017-18,10.646,45,,2017-18,1.0
dc14b8e6-72b8-4c26-bec4-815435b7b8b7,Jawaharlal Nehru University,2017-18,32.17,282,,2017-18,1.0
b49755e6-20af-465e-9c60-82974ede833a,University of Hyderabad,2017-18,49.679,360,,2017-18,1.05
ead97a8a-02d7-4f7b-b0b3-0a56f78257cb,Annamalai University,2017-18,,0,,2017-18,1.0
f03f9fd4-2251-4e13-8c6c-5e3ca946f289,Christ University,2017-18,3.219,47,,2022-23,1.0
d5b58b79-7727-4cac-b9d6-1735e93b2968,Amity University,2017-18,10.832,144,,2017-18,1.0
ac8b1844-88b8-465a-9729-6f0ca11190f9,Chitkara University,2017-18,6.959,19,,2022-23,1.0
3ccdda45-076a-4fcb-af38-2f4b09aa8ccb,Homi Bhabha National Institute,2017-18,251.698,556,,2017-18,1.0
d031820e-53e0-49a4-b0c5-edb3a7724b8a,Graphic Era University,2017-18,8.62,3,,2017-18,1.0
0d8fc077-1885-4fe9-a175-49b042facab9,Indian Statistical Institute,2017-18,7.892,51,,2022-23,0.95
0d9eda01-0613-4077-b69a-93861219bf67,Jamia Millia Islamia,2017-18,33.136,76,,2017-18,1.0
620c0800-344d-45c2-8c05-b0876f7dac8f,"Christian Medical College, Vellore",2017-18,75.332,92,,2017-18,0.95
edf10c4c-ca24-4805-b33c-ddf5428d22ff,National Institute of Technology Rourkela,2017-18,23.79,204,,2017-18,1.05
6f6f6042-e2c5-451a-a92d-2bc27b8fa5e4,Malaviya National Institute of Technology Jaipur,2017-18,8.107,28,,2017-18,0.95
d93978d3-2c97-47c6-8d5a-b6472222104c,"Birla Institute of Technology and Science, Pilani",2017-18,5.318,56,,2017-18,1.0
80153acc-b176-42b7-b0f1-dd40b152084d,University of Madras,2017-18,27.04,73,,2017-18,1.0
5866f537-6318-4586-bf6d-4433c5b4bbf7,National Institute of Technology Tiruchirappalli,2017-18,75.833,40,,2017-18,1.0
529bfa45-38b5-4fa3-ad24-0cdc1a731124,Koneru Lakshmaiah Education Foundation,2017-18,4.023,299,,2017-18,0.95
e53966df-0e1d-4551-bffd-ab1bde3800e4,Symbiosis International University,2017-18,2.002,40,,2017-18,0.95
d8caf76d-8ea5-44f6-939d-e450309d2de1,"Kasturba Medical College, Manipal",2017-18,31.324,170,,2017-18,1.05
48e9b5fb-0b5b-42f0-a98b-cbc31d34b300,KIIT University,2017-18,54.358,92,,2017-18,0.95
4521b7d6-9c9f-41f9-8061-593ae0c361dc,Jain University,2017-18,1.989,31,,2017-18,0.95
04e4f2b0-9883-4fb8-9c64-cb5b49d6b361,Andhra University,2017-18,26.894,72,,2017-18,1.0
4dec3aaa-d6ae-4b77-ac09-50d7bdc68bb2,Sathyabama Institute of Science and Technology,2017-18,15.654,112,,2017-18,1.0
fb160d73-523e-4f2a-8052-11f55f43e268,Pondicherry University,2017-18,5.664,32,,2017-18,1.0
0975bc21-a976-44a9-a251-f0e626168e55,Osmania University,2017-18,18.76,77,,2017-18,1.0
2519526b-e995-469e-ae6f-8385feff245c,SRM University,2017-18,,,,,
1a4bb242-813a-46c1-8f5a-8782d5040d19,University of Mumbai,2017-18,0.06,1,,2022-23,0.95
90352157-ced6-4e2a-b6ef-515ed6cc5aac,Siksha O Anusandhan University,2017-18,5.887,60,,2017-18,0.95
f520daa7-29f5-4b11-b9a4-9b02860351ec,Delhi Technological University,2017-18,4.376,505,,2017-18,1.0
